trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance,distance_unit,vehicle_no,driver_id,distance_km,vehicle_no_clean,departure_time_clean,arrival_time_clean,reason,recommended_action
TRP007399,MANDI018,WH-North,2026-01-30 01:25:25,2026-01-30 19:07:25,-17.7,637.7130573,miles,HR-43-AB-2010,,1026.2971316351818,HR43AB2010,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001892,MANDI022,Export-Terminal,2026-05-07 19:07:53,05-08-2026 10:13 AM,-15.1,771.8,km,RJ-26-BC-6558,DRV219,771.8,RJ26BC6558,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP000260,MANDI027,Export-Terminal,2026-01-29 14:14:33,29-Jan-2026 20:20:33,-6.1,252.9 KM,,DL46-CD-2171,,,DL46CD2171,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP005457,MANDI022,WH-West,05-01-2026 02:18 PM,05-02-2026 11:18 AM,-21.0,1226.1 KM,,,DRV262,,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP002911,MANDI034,WH-West,2026-06-10 14:20:28,11/06/2026,-22.3,796.7218962000001,miles,HR-99-DF-9280,,1282.1964164305082,HR99DF9280,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP002895,MANDI015,WH-South,2026-04-01T02:30:03,01-Apr-2026 13:54:03,-11.4,457.9 KM,,PB 69 AB 7490,DRV383,,PB69AB7490,2026-04-01 02:30:03,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP004990,MANDI054,Export-Terminal,2026-02-06 18:20:26,07/02/2026 11:56,-17.6,781.1,km,,DRV629,781.1,,,2026-07-02 11:56:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008463,MANDI038,Export-Terminal,04/07/2026,2026-07-05T04:38:10,-18.1,614.3495077,miles,up 30-CD-7913,,988.697236721918,UP30CD7913,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP003950,MANDI049,WH-South,2026-05-02T05:33:32,02/05/2026 08:09,,150.7,km,PB-80-DF-1221,DRV531,150.7,PB80DF1221,2026-05-02 05:33:32,2026-02-05 08:09:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP005757,MANDI002,WH-West,03/05/2026 22:59,2026-05-04 10:59:38,-12.0,398.98231910000004,miles,DL44-AB-6532,DRV899,642.0982054203939,DL44AB6532,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP004732,MANDI034,WH-South,27/05/2026,2026-05-27T08:59:24,-3.1,156.0,km,DL 95 CD 1440,DRV227,156.0,DL95CD1440,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP007934,MANDI015,Export-Terminal,2026-03-02T19:22:59,02/03/2026 21:34,2.2,117.0,km,DL-66-DF-6360,,117.0,DL66DF6360,2026-03-02 19:22:59,2026-02-03 21:34:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001965,MANDI022,WH-South,2026-05-23 02:19:50,23/05/2026 19:01,-16.7,721.7,km,DL-92-DF-4822,DRV460,721.7,DL92DF4822,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001826,MANDI038,WH-West,2026-03-04 15:53:48,05-Mar-2026 06:35:48,-14.7,607.6,km,,DRV437,607.6,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP007534,MANDI039,WH-West,18-Aug-2026 10:38:35,2026-08-18 14:02:35,-3.4,156.4,km,UP97-AB-2861,DRV543,156.4,UP97AB2861,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP003383,MANDI010,WH-South,09-Jul-2026 02:29:26,2026-07-09T13:35:26,-11.1,630.6,km,HR 21 BC 7841,DRV827,630.6,HR21BC7841,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008637,MANDI024,WH-Central,06/03/2026,2026-03-07 03:25:52,-8.7,417.4,km,dl 34-CD-1030,DRV666,417.4,DL34CD1030,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP009316,MANDI044,WH-Central,25/04/2026 12:04,26/04/2026 08:40,-20.6,1180.2,km,RJ-39-CD-7238,,1180.2,RJ39CD7238,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP005517,MANDI028,WH-Central,2026-07-23T03:33:46,23-Jul-2026 23:57:46,-20.4,1166.3,km,HR-66-CD-3753,,1166.3,HR66CD3753,2026-07-23 03:33:46,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP004666,MANDI019,WH-West,12-Mar-2026 23:56:35,13-Mar-2026 05:56:35,-6.0,318.5,km,hr 99-AB-7891,,318.5,HR99AB7891,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP004985,MANDI002,WH-South,19/02/2026,19-Feb-2026 19:17:54,-8.1,389.0 KM,,UP51-CD-3477,,,UP51CD3477,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008244,MANDI007,WH-East,05-24-2026 11:55 PM,,-20.5,674.187535,miles,UP-15-AB-3005,DRV332,1084.9969675769,UP15AB3005,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP005028,MANDI047,WH-North,30/04/2026 13:45,,-20.0,979.1 KM,,HR16-AB-4535,DRV267,,HR16AB4535,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP005655,MANDI034,WH-North,09-Mar-2026 10:39:49,2026-03-09T19:27:49,-8.8,423.5,km,rj 67-CD-6756,,423.5,RJ67CD6756,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001836,MANDI015,WH-East,2026-07-06T05:27:28,,-22.9,1333.8,km,PB-94-BC-1910,DRV396,1333.8,PB94BC1910,2026-07-06 05:27:28,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP005684,MANDI009,WH-Central,02-01-2026 12:00 PM,2026-02-01T22:54:19,-10.9,539.6,km,dl 79-CD-6878,,539.6,DL79CD6878,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP009282,MANDI027,WH-West,2026-05-13 16:52:16,2026-05-14T10:22:16,-17.5,997.5,km,PB 17 BC 1457,DRV828,997.5,PB17BC1457,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006537,MANDI037,WH-North,07-03-2026 03:32 PM,07-04-2026 06:38 AM,-15.1,382.20530210000004,miles,RJ-56-AB-4123,DRV138,615.098280881614,RJ56AB4123,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008230,MANDI038,WH-East,2026-03-31 16:49:20,04-01-2026 04:37 PM,-23.8,1095.4,km,HR62-BC-4237,,1095.4,HR62BC4237,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008576,MANDI047,WH-Central,2026-08-06 01:02:51,06-Aug-2026 20:08:51,-19.1,999.2,km,,DRV823,999.2,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP000569,MANDI015,WH-West,2026-05-28T16:43:57,29/05/2026,-23.6,1095.5,km,RJ60-DF-7919,DRV613,1095.5,RJ60DF7919,2026-05-28 16:43:57,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008185,MANDI055,WH-East,18/05/2026 07:49,,-10.8,613.6,km,RJ-21-AB-4484,DRV854,613.6,RJ21AB4484,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP009114,MANDI043,WH-North,07-20-2026 05:06 AM,2026-07-20 21:36:46,-16.5,954.9,km,RJ-58-AB-9017,DRV320,954.9,RJ58AB9017,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP004716,MANDI002,Export-Terminal,22/04/2026,2026-04-23T05:26:42,-19.3,802.8,km,UP-98-AB-6445,DRV540,802.8,UP98AB6445,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008500,MANDI028,WH-South,10/04/2026 05:10,2026-04-10 22:34:07,-17.4,829.0,km,UP 35 CD 2587,DRV373,829.0,UP35CD2587,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP000915,MANDI020,WH-West,26-Mar-2026 20:52:02,27/03/2026 15:16,-18.4,764.4,km,PB-62-CD-1780,DRV464,764.4,PB62CD1780,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP005628,MANDI037,Export-Terminal,16/01/2026 21:37,2026-01-17 10:25:47,-12.8,739.5,km,DL 88 DF 2133,DRV131,739.5,DL88DF2133,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP009845,MANDI035,WH-West,02-Aug-2026 13:47:17,2026-08-02 19:29:17,-5.7,285.1,km,hr 67-BC-3200,,285.1,HR67BC3200,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006226,MANDI021,WH-North,13-Feb-2026 14:34:27,,-10.3,550.7,km,UP 33 AB 3670,DRV662,550.7,UP33AB3670,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP004375,MANDI045,WH-North,2026-06-28 07:39:22,29-Jun-2026 02:45:22,-19.1,1054.1,km,,DRV927,1054.1,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP004059,MANDI027,WH-West,20/06/2026,21/06/2026,-23.7,1234.8,km,pb 22-CD-5754,,1234.8,PB22CD5754,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP007526,MANDI016,WH-Central,2026-08-06T19:06:02,06-Aug-2026 22:42:02,-3.6,160.0,km,RJ-73-DF-1223,DRV742,160.0,RJ73DF1223,2026-08-06 19:06:02,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP009391,MANDI021,WH-East,04/08/2026 13:38,05/08/2026,-20.7,1006.1,km,DL19-DF-5878,DRV345,1006.1,DL19DF5878,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP002997,MANDI051,WH-North,08/08/2026 10:32,2026-08-09 06:14:03,-19.7,1045.6,km,PB-43-AB-6380,DRV676,1045.6,PB43AB6380,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP000432,MANDI047,WH-West,02/01/2026 16:35,01-03-2026 01:41 PM,-21.1,555.3813997999999,miles,hr 26-BC-1700,,893.7975019541319,HR26BC1700,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP003938,MANDI022,WH-Central,2026-04-10 08:58:41,11/04/2026 06:22,-21.4,1276.8,km,pb 54-DF-5776,DRV742,1276.8,PB54DF5776,,2026-11-04 06:22:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006569,MANDI055,WH-East,2026-03-27 04:07:21,27-Mar-2026 23:31:21,-19.4,813.2,km,PB-66-DF-8391,DRV301,813.2,PB66DF8391,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP003922,MANDI050,Export-Terminal,28/04/2026 14:19,2026-04-29T09:49:24,-19.5,1044.4,km,,DRV452,1044.4,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP005562,MANDI049,Export-Terminal,25/05/2026,2026-05-26 00:32:28,-22.9,1185.4,km,DL-78-BC-5995,DRV934,1185.4,DL78BC5995,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001195,MANDI042,WH-West,15-May-2026 05:18:44,16-May-2026 01:06:44,-19.8,551.2182141000001,miles,UP-33-BC-5758,DRV851,887.0975206796941,UP33BC5758,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008317,MANDI022,WH-East,06/01/2026 07:10,06/01/2026 13:10,-6.0,269.1 KM,,dl 75-DF-9225,DRV871,,DL75DF9225,,2026-06-01 13:10:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP003334,MANDI012,WH-West,2026-09-01 06:34:51,,-9.5,424.5,km,hr 71-AB-3139,DRV211,424.5,HR71AB3139,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001316,MANDI007,WH-East,07/09/2026,,-7.1,367.6,km,PB-14-CD-1247,DRV769,367.6,PB14CD1247,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001607,MANDI030,WH-East,2026-09-07 02:05:31,,-13.0,350.8260666,miles,UP-18-BC-7289,DRV477,564.598422022044,UP18BC7289,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP007875,MANDI037,WH-North,11/07/2026,12/07/2026 03:46,-6.3,309.1,km,,DRV473,309.1,,,2026-12-07 03:46:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP003205,MANDI035,WH-West,26-Apr-2026 06:02:03,,-18.7,1086.7,km,,DRV250,1086.7,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001796,MANDI017,WH-West,01/08/2026,01/08/2026 13:35,-5.0,212.2,km,PB-23-BC-1410,DRV877,212.2,PB23BC1410,,2026-01-08 13:35:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP009305,MANDI003,WH-North,2026-08-26T08:08:40,08-26-2026 10:26 AM,-2.3,104.9,km,UP-25-BC-9550,DRV136,104.9,UP25BC9550,2026-08-26 08:08:40,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP005235,MANDI007,Export-Terminal,21/02/2026 02:54,21/02/2026,-17.8,558.9853516000001,miles,,DRV783,899.597485743944,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP002535,MANDI005,WH-North,2026-09-04 05:41:29,04-Sep-2026 20:59:29,-15.3,709.8,km,RJ-74-BC-4950,DRV740,709.8,RJ74BC4950,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP007606,MANDI051,WH-Central,2026-03-01T01:17:03,03-01-2026 08:53 PM,-19.6,868.8 KM,,UP 75 AB 1831,DRV902,,UP75AB1831,2026-03-01 01:17:03,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP000253,MANDI021,WH-South,29/01/2026 09:58,,-23.0,1091.8,km,,DRV253,1091.8,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP002408,MANDI014,WH-North,2026-07-21 14:08:13,2026-07-21T18:02:13,-3.9,222.6,km,,DRV830,222.6,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006309,MANDI002,WH-East,20/07/2026 04:06,20/07/2026 12:00,-7.9,356.3,km,PB-27-AB-5548,DRV794,356.3,PB27AB5548,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP003929,MANDI035,WH-West,2026-05-04T13:37:00,05-May-2026 10:01:00,-20.4,931.3,km,,DRV890,931.3,,2026-05-04 13:37:00,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008273,MANDI003,WH-Central,31-Jul-2026 08:08:52,01/08/2026,-18.6,618.264145,miles,PB-14-CD-9592,DRV873,994.9972191142999,PB14CD9592,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP007108,MANDI056,WH-Central,07-Mar-2026 09:19:01,03-07-2026 09:13 PM,-11.9,401.7784886,miles,PB74-AB-6839,DRV683,646.598192843524,PB74AB6839,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006128,MANDI008,WH-West,2026-09-02T23:48:38,03-Sep-2026 08:12:38,-8.4,265.1390057,miles,RJ 93 AB 2056,DRV392,426.69880743323796,RJ93AB2056,2026-09-02 23:48:38,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP009186,MANDI021,WH-East,11-Jun-2026 04:59:47,11-Jun-2026 09:23:47,-4.4,195.4,km,dl 16-BC-4733,DRV134,195.4,DL16BC4733,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP009701,MANDI011,Export-Terminal,14/04/2026 03:43,14/04/2026 10:13,-6.5,378.8,km,DL-46-AB-3822,DRV888,378.8,DL46AB3822,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006104,MANDI003,WH-South,01-12-2026 04:33 PM,13-Jan-2026 10:09:10,-17.6,928.9,km,up 84-DF-3545,DRV205,928.9,UP84DF3545,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP005480,MANDI026,Export-Terminal,08-22-2026 07:50 AM,2026-08-22 22:38:29,-14.8,800.3,km,RJ 11 AB 9921,DRV611,800.3,RJ11AB9921,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006351,MANDI011,WH-North,22/02/2026 04:43,22/02/2026 10:25,-5.7,234.3,km,,,234.3,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP003533,MANDI004,WH-South,2026-05-21 06:28:42,21/05/2026,-4.3,245.0,km,UP-93-CD-5040,DRV918,245.0,UP93CD5040,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP007790,MANDI018,WH-East,12-Feb-2026 06:22:58,12-Feb-2026 18:16:58,-11.9,503.2,km,DL-40-DF-1612,DRV688,503.2,DL40DF1612,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006015,MANDI028,WH-East,2026-08-06T08:03:56,07/08/2026 00:15,16.2,475.1002666,miles,RJ-97-CD-2631,DRV480,764.597863050044,RJ97CD2631,2026-08-06 08:03:56,2026-07-08 00:15:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP000020,MANDI036,WH-Central,2026-07-04T11:40:47,04/07/2026 15:46,,222.9,km,hr 76-DF-7435,DRV124,222.9,HR76DF7435,2026-07-04 11:40:47,2026-04-07 15:46:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP003061,MANDI036,WH-South,24/07/2026,2026-07-25T02:48:53,-22.6,1185.0,km,hr 72-BC-4676,DRV575,1185.0,HR72BC4676,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008056,MANDI024,Export-Terminal,2026-01-01 06:35:21,01-01-2026 09:53 PM,-15.3,789.2,km,UP-11-AB-2079,DRV178,789.2,UP11AB2079,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP002448,MANDI004,WH-South,2026-09-01T09:19:01,01/09/2026 19:19,10.0,520.9,km,PB-94-DF-2616,DRV428,520.9,PB94DF2616,2026-09-01 09:19:01,2026-01-09 19:19:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP000621,MANDI034,WH-South,22-Mar-2026 04:05:04,2026-03-22 11:41:04,-7.6,327.2,km,RJ 47 AB 5980,,327.2,RJ47AB5980,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006281,MANDI020,WH-West,02/06/2026 23:50,06-03-2026 06:20 PM,-18.5,883.6,km,UP-20-AB-8620,DRV876,883.6,UP20AB8620,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP009609,MANDI028,WH-East,07/01/2026,2026-01-07T15:57:44,-15.6,858.0,km,dl 13-CD-8116,,858.0,DL13CD8116,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP003724,MANDI044,WH-East,2026-03-11 17:28:10,03-12-2026 02:28 AM,-9.0,533.8,km,RJ-34-DF-2517,DRV399,533.8,RJ34DF2517,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP004044,MANDI003,Export-Terminal,27/04/2026,2026-04-27T19:57:30,-16.9,801.2,km,UP30-BC-6196,DRV124,801.2,UP30BC6196,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP002125,MANDI013,WH-West,2026-09-03T06:32:12,03/09/2026 12:14,,336.4,km,up 88-BC-5026,,336.4,UP88BC5026,2026-09-03 06:32:12,2026-03-09 12:14:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006180,MANDI029,Export-Terminal,03/08/2026 00:34,03-Aug-2026 19:46:45,-19.2,846.2,km,HR-16-DF-5719,DRV694,846.2,HR16DF5719,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP000713,MANDI044,WH-East,2026-07-01T08:06:57,02/07/2026 04:30,20.4,680.0284224000001,miles,HR-42-AB-6719,DRV842,1094.3969413052162,HR42AB6719,2026-07-01 08:06:57,2026-02-07 04:30:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP003299,MANDI041,Export-Terminal,12/06/2026 01:59,13/06/2026 00:41,-22.7,1062.1,km,,,1062.1,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001659,MANDI009,WH-Central,20-Aug-2026 15:29:35,20/08/2026 19:47,-4.3,131.9170633,miles,DL88-DF-9968,,212.299406651222,DL88DF9968,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP003854,MANDI018,WH-Central,05/09/2026 21:35,2026-09-06 04:23:06,-6.8,306.0 KM,,up 64-CD-1032,DRV752,,UP64CD1032,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008030,MANDI020,WH-West,03/07/2026 08:40,,-18.3,925.2,km,UP-16-DF-5624,DRV523,925.2,UP16DF5624,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP004844,MANDI025,WH-North,05-20-2026 12:42 PM,05-21-2026 03:00 AM,-14.3,806.6,km,UP51-AB-9380,DRV896,806.6,UP51AB9380,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001495,MANDI051,WH-West,10/06/2026 03:30,2026-06-10T13:24:57,-9.9,543.9,km,,DRV619,543.9,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006386,MANDI016,WH-South,22/01/2026,23/01/2026,-19.6,947.1,km,RJ-18-DF-7653,DRV726,947.1,RJ18DF7653,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP007054,MANDI035,WH-Central,19/06/2026,2026-06-20 03:37:27,-15.0,614.2,km,DL-27-CD-2144,DRV258,614.2,DL27CD2144,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP005270,MANDI042,WH-North,2026-03-12 01:23:09,2026-03-12 08:23:09,-7.0,377.5,km,dl 26-CD-7062,DRV640,377.5,DL26CD7062,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP007541,MANDI012,WH-South,2026-09-02T08:42:52,02/09/2026 21:30,,359.773809,miles,pb 53-AB-6049,DRV532,578.99838177606,PB53AB6049,2026-09-02 08:42:52,2026-02-09 21:30:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008442,MANDI002,WH-West,18-Feb-2026 08:05:59,19-Feb-2026 03:47:59,-19.7,985.6,km,HR 30 BC 2683,DRV112,985.6,HR30BC2683,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP000711,MANDI037,WH-South,2026-07-05 06:50:50,07-05-2026 03:20 PM,-8.5,466.0,km,HR-67-AB-7005,,466.0,HR67AB7005,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP002120,MANDI036,WH-South,2026-07-05T05:09:46,05/07/2026 23:27,18.3,968.6,km,,,968.6,,2026-07-05 05:09:46,2026-05-07 23:27:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006188,MANDI026,WH-East,2026-03-04 09:40:56,04/03/2026 11:46,-2.1,57.2282691,miles,HR-23-DF-6752,DRV945,92.099742593394,HR23DF6752,,2026-04-03 11:46:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001350,MANDI010,WH-Central,2026-09-03T03:05:40,03/09/2026 17:05,-14.0,624.6,km,HR-75-BC-3138,DRV164,624.6,HR75BC3138,2026-09-03 03:05:40,2026-03-09 17:05:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP007471,MANDI041,WH-South,02-10-2026 07:43 AM,2026-02-11T03:13:32,-19.5,879.4,km,,DRV758,879.4,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP009461,MANDI026,Export-Terminal,07-May-2026 12:59:10,08/05/2026 00:35,-11.6,470.1,km,DL 33 BC 2256,,470.1,DL33BC2256,,2026-08-05 00:35:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP004129,MANDI051,WH-South,04/07/2026 15:22,2026-07-05T12:58:42,-21.6,1079.3,km,,,1079.3,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001738,MANDI044,WH-Central,05/08/2026,2026-08-06 14:42:09,-21.2,1101.1,km,hr 95-BC-5790,,1101.1,HR95BC5790,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
