trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance,distance_unit,vehicle_no,driver_id,distance_km,vehicle_no_clean,departure_time_clean,arrival_time_clean
TRP008180,MANDI021,Export-Terminal,2026-02-06 08:55:45,02-06-2026 01:25 PM,4.5,199.5,km,UP-83-AB-2103,DRV524,199.5,UP83AB2103,,
TRP001122,MANDI011,WH-South,05-01-2026 10:46 PM,,16.9,819.7,km,RJ-78-BC-1965,DRV222,819.7,RJ78BC1965,,
TRP001218,MANDI052,Export-Terminal,24/06/2026 08:17,24-Jun-2026 14:11:31,5.9,271.6,km,RJ-41-DF-2783,DRV825,271.6,RJ41DF2783,,
TRP004111,MANDI032,WH-North,04/08/2026 21:07,05/08/2026 05:49,8.7,520.4,km,RJ87-CD-3403,DRV733,520.4,RJ87CD3403,,2026-05-08 05:49:00
TRP008942,MANDI021,Export-Terminal,2026-04-19T23:37:28,2026-04-20 16:19:28,16.7,850.8,km,PB-98-DF-3830,DRV786,850.8,PB98DF3830,2026-04-19 23:37:28,
TRP000305,MANDI026,Export-Terminal,22/06/2026,,7.6,422.6,km,hr 20-CD-6378,DRV161,422.6,HR20CD6378,,
TRP000624,MANDI048,Export-Terminal,2026-04-01 04:37:31,2026-04-01 12:55:31,8.3,417.5,km,,DRV190,417.5,,,
TRP007782,MANDI024,WH-South,03/08/2026,2026-08-03 14:39:21,8.8,313.4816695,miles,rj 72-AB-5979,DRV685,504.49858999313,RJ72AB5979,,
TRP002486,MANDI025,WH-Central,08-06-2026 03:13 AM,,,503.0,km,HR 58 AB 7983,DRV608,503.0,HR58AB7983,,
TRP003291,MANDI023,WH-North,02/06/2026 17:53,03-Jun-2026 10:29:33,16.6,766.0,km,PB-51-CD-7947,DRV432,766.0,PB51CD7947,,
TRP006819,MANDI048,WH-South,23-Jul-2026 07:56:05,23/07/2026 19:02,11.1,446.2,km,DL-38-BC-6694,DRV485,446.2,DL38BC6694,,
TRP001278,MANDI022,WH-Central,18-Jul-2026 20:53:32,19-Jul-2026 01:41:32,4.8,262.2,km,HR94-DF-4063,DRV934,262.2,HR94DF4063,,
TRP001902,MANDI028,Export-Terminal,07/07/2026 07:23,07-08-2026 01:59 AM,18.6,1020.6,km,UP-34-DF-9243,DRV421,1020.6,UP34DF9243,,
TRP000440,MANDI054,WH-North,01-22-2026 02:59 PM,2026-01-23 12:23:07,21.4,1016.8,km,up 50-AB-4159,DRV162,1016.8,UP50AB4159,,
TRP007232,MANDI038,WH-South,2026-04-10 06:17:01,10-Apr-2026 22:47:01,16.5,842.6 KM,,,DRV709,,,,
TRP002456,MANDI016,WH-East,05-Jun-2026 08:59:36,05-Jun-2026 11:59:36,3.0,164.3,km,DL-30-BC-8601,,164.3,DL30BC8601,,
TRP002904,MANDI007,WH-South,16/01/2026,2026-01-16 16:54:49,10.2,524.1,km,RJ-55-BC-3913,DRV357,524.1,RJ55BC3913,,
TRP008945,MANDI018,WH-Central,2026-07-04 21:17:31,2026-07-05T17:53:31,20.6,610.3727332999999,miles,PB83-DF-9790,DRV893,982.2972546090219,PB83DF9790,,
TRP006235,MANDI031,WH-South,01/02/2026 14:55,01-Feb-2026 21:31:24,,364.3 KM,,HR69-AB-7486,,,HR69AB7486,,
TRP006410,MANDI049,WH-West,13/01/2026,2026-01-14T15:30:30,,973.7,km,PB73-BC-6200,DRV302,973.7,PB73BC6200,,
TRP001922,MANDI045,WH-North,20/03/2026 20:25,21/03/2026 03:37,7.2,297.1,km,HR-67-CD-4681,DRV547,297.1,HR67CD4681,,
TRP006686,MANDI051,Export-Terminal,01/04/2026 06:14,02-Apr-2026 02:14:05,20.0,1007.1,km,PB 13 DF 2493,,1007.1,PB13DF2493,,
TRP005144,MANDI032,WH-South,2026-05-06 15:52:28,2026-05-07 04:22:28,12.5,644.4 KM,,RJ28-DF-3707,DRV628,,RJ28DF3707,,
TRP004697,MANDI044,Export-Terminal,2026-08-15 03:48:23,16/08/2026 03:36,23.8,621.1845887000001,miles,DL 52 BC 1440,DRV361,999.6972059784581,DL52BC1440,,
TRP001632,MANDI027,WH-West,2026-02-19 19:53:29,20/02/2026,11.9,592.1,km,up 24-CD-4874,DRV886,592.1,UP24CD4874,,
TRP007839,MANDI056,WH-Central,04-23-2026 10:45 AM,2026-04-24T01:33:34,14.8,794.7 KM,,DL-17-DF-2064,DRV560,,DL17DF2064,,
TRP003384,MANDI052,Export-Terminal,2026-04-28 05:23:39,,19.6,1021.5 KM,,RJ-44-CD-5651,,,RJ44CD5651,,
TRP002610,MANDI017,Export-Terminal,2026-02-09 18:12:41,2026-02-10 02:36:41,8.4,479.5,km,,,479.5,,,
TRP005169,MANDI025,Export-Terminal,07-02-2026 05:00 PM,07-02-2026 11:36 PM,,343.0,km,UP31-CD-6120,DRV353,343.0,UP31CD6120,,
TRP007891,MANDI023,WH-North,2026-06-11 18:00:06,12/06/2026,17.6,905.9,km,hr 94-CD-1203,DRV937,905.9,HR94CD1203,,
TRP001248,MANDI029,WH-South,06/08/2026 00:51,2026-08-06 22:39:09,,1018.2,km,HR-49-DF-9523,DRV507,1018.2,HR49DF9523,,
TRP008234,MANDI054,WH-South,2026-06-08 02:25:26,2026-06-08 08:49:26,6.4,354.5,km,up 77-BC-2470,DRV735,354.5,UP77BC2470,,
TRP006454,MANDI019,WH-South,07-Jun-2026 18:33:51,2026-06-08T15:09:51,20.6,743.5325386,miles,dl 39-BC-7294,,1196.596655670524,DL39BC7294,,
TRP007504,MANDI043,Export-Terminal,16-Jan-2026 15:53:18,17/01/2026,19.6,914.9 KM,,UP-78-AB-5221,DRV629,,UP78AB5221,,
TRP003195,MANDI023,WH-South,2026-07-02 17:36:29,2026-07-03T17:18:29,23.7,1160.4,km,UP-55-CD-7932,,1160.4,UP55CD7932,,
TRP005072,MANDI033,WH-West,02/06/2026 09:35,02/06/2026 17:29,7.9,378.4,km,,,378.4,,,2026-02-06 17:29:00
TRP001684,MANDI023,WH-South,2026-04-02T15:52:48,03-Apr-2026 08:10:48,,852.2,km,PB-27-BC-9556,DRV142,852.2,PB27BC9556,2026-04-02 15:52:48,
TRP005282,MANDI047,WH-East,27/04/2026,04-28-2026 06:09 PM,22.8,842.2062534,miles,DL86-BC-3753,DRV801,1355.3962118467562,DL86BC3753,,
TRP002702,MANDI021,WH-East,15-Aug-2026 13:34:52,,18.7,1052.5,km,dl 36-CD-4633,DRV980,1052.5,DL36CD4633,,
TRP005728,MANDI003,WH-Central,04/04/2026 18:01,2026-04-04T22:07:53,4.1,217.4 KM,,PB-53-AB-1832,DRV811,,PB53AB1832,,
TRP006775,MANDI039,WH-West,2026-06-15 16:11:00,16-Jun-2026 07:05:00,14.9,753.5,km,RJ-27-AB-2586,DRV100,753.5,RJ27AB2586,,
TRP003747,MANDI044,WH-West,2026-01-06T10:03:07,07-Jan-2026 03:39:07,17.6,710.0,km,up 62-CD-7472,DRV268,710.0,UP62CD7472,2026-01-06 10:03:07,
TRP007389,MANDI002,WH-East,2026-05-15 02:42:06,2026-05-15 16:48:06,14.1,796.1 KM,,hr 28-AB-1975,DRV770,,HR28AB1975,,
TRP008483,MANDI029,WH-East,06-11-2026 11:02 AM,11/06/2026,9.5,466.1,km,HR28-BC-5774,DRV713,466.1,HR28BC5774,,
TRP002933,MANDI057,WH-South,21-Feb-2026 22:30:34,22/02/2026,10.1,445.6,km,DL 23 AB 5218,DRV564,445.6,DL23AB5218,,
TRP005382,MANDI055,WH-Central,08/06/2026,06-08-2026 11:09 AM,5.2,294.0,km,hr 81-AB-3126,DRV461,294.0,HR81AB3126,,
TRP004003,MANDI019,WH-South,2026-07-08 04:44:04,09/07/2026,19.8,840.2,km,RJ 14 BC 6388,DRV158,840.2,RJ14BC6388,,
TRP006097,MANDI018,WH-East,2026-06-13T20:45:53,2026-06-14 19:33:53,22.8,1100.8,km,UP-13-BC-5242,,1100.8,UP13BC5242,2026-06-13 20:45:53,
TRP008343,MANDI038,WH-West,22/01/2026 19:47,23-Jan-2026 05:47:40,10.0,294.6541282,miles,RJ-36-BC-7540,DRV350,474.198674677388,RJ36BC7540,,
TRP005897,MANDI055,WH-East,28-Feb-2026 08:43:48,28/02/2026 16:25,7.7,445.7,km,HR20-DF-4433,DRV311,445.7,HR20DF4433,,
TRP002517,MANDI030,WH-East,2026-04-13 19:43:10,14-Apr-2026 11:19:10,,734.4,km,RJ-46-BC-3812,DRV863,734.4,RJ46BC3812,,
TRP008025,MANDI057,WH-South,2026-06-24 13:12:06,2026-06-25 10:06:06,20.9,1010.3,km,dl 69-AB-5694,DRV331,1010.3,DL69AB5694,,
TRP002479,MANDI056,WH-North,17/03/2026 16:41,18/03/2026 06:41,14.0,825.5 KM,,UP 20 AB 6931,,,UP20AB6931,,
TRP004149,MANDI028,WH-West,03/05/2026 20:00,04/05/2026 18:12,22.2,948.0,km,PB 14 CD 6880,DRV298,948.0,PB14CD6880,,2026-04-05 18:12:00
TRP005734,MANDI034,WH-South,05/03/2026 16:09,06/03/2026,10.8,521.1,km,UP 88 CD 9876,DRV770,521.1,UP88CD9876,,
TRP007377,MANDI013,WH-Central,27/03/2026,2026-03-28 00:06:22,20.9,1005.3,km,UP77-AB-5053,DRV676,1005.3,UP77AB5053,,
TRP007332,MANDI047,WH-Central,03-21-2026 02:57 PM,2026-03-22T12:33:45,21.6,569.3622472999999,miles,RJ-37-BC-7009,DRV210,916.2974390697818,RJ37BC7009,,
TRP004831,MANDI036,WH-South,2026-07-01 10:10:04,01/07/2026 16:10,6.0,332.5,km,DL85-DF-2318,,332.5,DL85DF2318,,2026-01-07 16:10:00
TRP007838,MANDI040,WH-Central,05/04/2026 10:04,05-Apr-2026 16:04:02,6.0,318.5,km,rj 55-AB-5201,DRV518,318.5,RJ55AB5201,,
TRP003466,MANDI031,WH-North,08-24-2026 09:58 PM,2026-08-25 08:52:52,10.9,556.2 KM,,,DRV696,,,,
TRP000322,MANDI003,Export-Terminal,2026-03-06 04:15:50,06-Mar-2026 15:09:50,10.9,449.3,km,PB 49 CD 8480,,449.3,PB49CD8480,,
TRP005366,MANDI003,WH-West,2026-05-07T11:52:46,2026-05-08 02:16:46,14.4,712.2,km,RJ 42 AB 5114,DRV803,712.2,RJ42AB5114,2026-05-07 11:52:46,
TRP001079,MANDI031,Export-Terminal,2026-02-03T04:30:30,03/02/2026 23:36,19.1,916.9,km,UP25-DF-6185,DRV847,916.9,UP25DF6185,2026-02-03 04:30:30,2026-03-02 23:36:00
TRP007640,MANDI033,WH-Central,30-Aug-2026 22:02:40,2026-08-31 17:32:40,19.5,809.5,km,RJ10-CD-5947,DRV760,809.5,RJ10CD5947,,
TRP003704,MANDI024,WH-West,10/02/2026,11/02/2026,24.0,1107.0,km,RJ-86-DF-4314,DRV549,1107.0,RJ86DF4314,,
TRP002349,MANDI023,WH-West,05/04/2026 11:52,2026-04-06T10:10:12,22.3,1100.1,km,dl 35-DF-7496,DRV600,1100.1,DL35DF7496,,
TRP004130,MANDI004,WH-North,02-Feb-2026 18:20:27,03/02/2026,16.8,849.3,km,DL-34-CD-8559,DRV997,849.3,DL34CD8559,,
TRP001435,MANDI039,WH-South,2026-03-23 01:44:35,2026-03-23 14:56:35,13.2,567.6,km,RJ 30 AB 1006,DRV870,567.6,RJ30AB1006,,
TRP008696,MANDI036,WH-South,05-02-2026 04:30 PM,,11.1,328.4567106,miles,HR-95-BC-2138,DRV224,528.5985226370041,HR95BC2138,,
TRP001719,MANDI009,WH-West,2026-01-15T15:20:47,2026-01-15 21:44:47,6.4,359.0,km,PB-91-BC-9566,DRV588,359.0,PB91BC9566,2026-01-15 15:20:47,
TRP008628,MANDI051,WH-South,01-30-2026 09:17 PM,2026-01-31T13:59:45,16.7,724.0,km,,DRV334,724.0,,,
TRP002693,MANDI019,Export-Terminal,2026-08-13 13:54:40,08-13-2026 10:24 PM,8.5,488.8,km,PB 51 AB 8653,DRV840,488.8,PB51AB8653,,
TRP003756,MANDI029,WH-Central,2026-05-13 16:06:18,2026-05-14 10:12:18,18.1,747.9 KM,,UP-34-AB-2673,DRV936,,UP34AB2673,,
TRP006713,MANDI020,WH-Central,17/06/2026 03:48,17/06/2026,,219.9,km,,DRV126,219.9,,,
TRP009529,MANDI018,WH-North,2026-07-27 03:36:26,2026-07-27 17:24:26,13.8,554.2,km,up 28-AB-4703,DRV905,554.2,UP28AB4703,,
TRP004075,MANDI055,WH-North,16/03/2026 23:48,03-17-2026 03:48 AM,4.0,195.9,km,PB-24-CD-7831,,195.9,PB24CD7831,,
TRP001524,MANDI045,WH-East,2026-01-05 07:40:34,06/01/2026 04:58,21.3,1113.6,km,DL 31 CD 6863,DRV534,1113.6,DL31CD6863,,2026-06-01 04:58:00
TRP004813,MANDI054,WH-Central,08/02/2026,02-09-2026 03:01 AM,18.7,806.7,km,PB-11-DF-2696,DRV854,806.7,PB11DF2696,,
TRP008502,MANDI053,WH-West,24-Aug-2026 02:52:52,08-24-2026 05:46 AM,2.9,168.9,km,hr 82-AB-7567,DRV177,168.9,HR82AB7567,,
TRP006962,MANDI046,WH-Central,2026-06-30T11:13:42,06-30-2026 10:43 PM,,364.86905120000006,miles,pb 68-BC-3755,DRV855,587.198358858208,PB68BC3755,2026-06-30 11:13:42,
TRP003017,MANDI038,WH-South,07-12-2026 05:51 AM,2026-07-12T07:57:17,,72.8246812,miles,RJ 71 BC 9641,DRV798,117.199672442408,RJ71BC9641,,
TRP006884,MANDI030,WH-South,03-21-2026 07:40 PM,2026-03-22T01:58:17,6.3,173.23823480000001,miles,PB 71 AB 2643,DRV676,278.79922079303196,PB71AB2643,,
TRP007840,MANDI035,WH-Central,19/06/2026 08:29,2026-06-19 21:59:28,13.5,706.9,km,RJ26-BC-2844,,706.9,RJ26BC2844,,
TRP009542,MANDI002,Export-Terminal,03-02-2026 06:10 AM,2026-03-02T08:10:59,2.0,71.8304876,miles,DL-81-DF-3115,DRV551,115.599676914184,DL81DF3115,,
TRP001884,MANDI030,WH-North,2026-07-08 06:58:02,2026-07-09 00:22:02,17.4,770.3,km,,DRV479,770.3,,,
TRP005466,MANDI019,WH-South,03/05/2026 21:48,04/05/2026,6.9,292.5,km,PB-59-AB-3758,,292.5,PB59AB3758,,
TRP009230,MANDI030,WH-Central,16-Feb-2026 03:32:05,16-Feb-2026 14:08:05,10.6,483.7,km,RJ-82-BC-3304,DRV233,483.7,RJ82BC3304,,
TRP004158,MANDI048,WH-East,12/02/2026 00:13,12-Feb-2026 08:49:59,8.6,363.2,km,HR-52-DF-4502,,363.2,HR52DF4502,,
TRP006301,MANDI053,WH-East,22/02/2026,23/02/2026,10.5,472.6,km,rj 24-BC-4641,,472.6,RJ24BC4641,,
TRP008599,MANDI056,WH-Central,2026-07-18T05:42:40,2026-07-18T21:48:40,16.1,535.5596649,miles,rj 97-CD-4878,DRV953,861.897591110166,RJ97CD4878,2026-07-18 05:42:40,
TRP003022,MANDI001,WH-South,07/08/2026,2026-08-08 03:55:41,9.1,488.3,km,pb 14-BC-6897,DRV839,488.3,PB14BC6897,,
TRP008251,MANDI057,WH-North,2026-06-28 23:40:13,29-Jun-2026 05:04:13,5.4,216.1 KM,,HR86-BC-4485,DRV131,,HR86BC4485,,
TRP006114,MANDI051,WH-South,19/07/2026,20-Jul-2026 10:46:43,14.8,657.8,km,PB-39-DF-3011,DRV929,657.8,PB39DF3011,,
TRP000120,MANDI023,WH-South,15/02/2026,2026-02-15 19:14:00,18.0,463.1078063,miles,pb 72-CD-4744,DRV212,745.2979169908419,PB72CD4744,,
TRP006830,MANDI041,WH-Central,07-09-2026 11:23 PM,2026-07-10T23:05:07,23.7,1237.2,km,UP 63 CD 8038,DRV907,1237.2,UP63CD8038,,
TRP003464,MANDI010,WH-South,07-07-2026 04:19 PM,07/07/2026 20:43,4.4,122.3479499,miles,HR-90-BC-1367,DRV976,196.899449692066,HR90BC1367,,2026-07-07 20:43:00
TRP001459,MANDI042,Export-Terminal,2026-04-30 18:22:01,2026-04-30 23:22:01,5.0,275.2,km,UP 51 AB 4994,DRV547,275.2,UP51AB4994,,
TRP009534,MANDI020,WH-North,11-Aug-2026 15:41:39,2026-08-12 06:35:39,,726.3 KM,,UP-17-DF-8204,DRV273,,UP17DF8204,,
TRP001407,MANDI034,WH-North,22/08/2026 04:11,2026-08-22 09:29:18,5.3,282.5 KM,,,DRV657,,,,
TRP000488,MANDI002,WH-South,29-Jul-2026 21:28:03,30/07/2026,14.3,667.9,km,UP15-BC-9825,DRV395,667.9,UP15BC9825,,
TRP006327,MANDI056,WH-West,21-Jun-2026 09:06:51,2026-06-22T02:00:51,16.9,753.7,km,,DRV187,753.7,,,
TRP002887,MANDI001,Export-Terminal,2026-07-03T15:43:24,2026-07-04T11:55:24,20.2,1173.0,km,PB 35 DF 1300,,1173.0,PB35DF1300,2026-07-03 15:43:24,
TRP002146,MANDI044,WH-North,02/08/2026 15:58,,12.8,566.8,km,UP 36 BC 4306,DRV521,566.8,UP36BC4306,,
TRP003521,MANDI045,WH-Central,04-Mar-2026 06:08:32,2026-03-04 17:20:32,11.2,515.6,km,PB-89-AB-7373,DRV178,515.6,PB89AB7373,,
TRP006637,MANDI008,WH-West,2026-01-21T01:40:52,01-21-2026 07:34 AM,5.9,353.0 KM,,DL-74-DF-3326,DRV150,,DL74DF3326,2026-01-21 01:40:52,
TRP007820,MANDI010,WH-East,2026-02-16 10:47:29,02-17-2026 12:29 AM,13.7,363.62630920000004,miles,PB 25 AB 9316,,585.1983644479279,PB25AB9316,,
TRP000519,MANDI040,WH-South,06-25-2026 09:20 AM,26/06/2026,18.8,1043.2,km,RJ-15-DF-1359,DRV555,1043.2,RJ15DF1359,,
TRP001112,MANDI032,WH-West,26/01/2026,26-Jan-2026 22:56:09,10.9,613.2 KM,,UP16-AB-6019,DRV205,,UP16AB6019,,
TRP001685,MANDI049,WH-South,20-Jan-2026 04:38:11,20/01/2026,16.8,732.3,km,HR-82-DF-6289,DRV937,732.3,HR82DF6289,,
TRP000736,MANDI042,WH-East,02/03/2026 21:23,03/03/2026 11:17,13.9,437.9422808,miles,PB-57-CD-6077,,704.7980301826719,PB57CD6077,,2026-03-03 11:17:00
TRP004615,MANDI042,WH-South,08-15-2026 02:56 AM,08-15-2026 11:50 PM,20.9,1032.1,km,DL-84-AB-8674,DRV789,1032.1,DL84AB8674,,
TRP004084,MANDI001,WH-South,01-Feb-2026 17:45:28,2026-02-02T02:33:28,8.8,452.6,km,hr 52-DF-7826,DRV766,452.6,HR52DF7826,,
TRP009966,MANDI028,Export-Terminal,2026-06-02 23:55:57,2026-06-03 02:01:57,,118.8,km,PB-15-BC-5519,DRV863,118.8,PB15BC5519,,
TRP002329,MANDI010,WH-North,28/04/2026 00:37,28/04/2026 03:19,2.7,108.4,km,,DRV254,108.4,,,
TRP005796,MANDI049,WH-East,08-17-2026 10:46 AM,17/08/2026 17:52,7.1,255.9427149,miles,DL 19 DF 4113,DRV977,411.898848797166,DL19DF4113,,
TRP006608,MANDI019,WH-South,07-08-2026 03:50 AM,2026-07-08 15:32:45,11.7,600.4,km,DL55-DF-9091,DRV508,600.4,DL55DF9091,,
TRP001635,MANDI006,WH-Central,08-22-2026 04:49 PM,2026-08-23 00:37:09,7.8,426.7 KM,,DL 80 CD 4699,DRV140,,DL80CD4699,,
TRP003356,MANDI051,WH-Central,2026-08-29 16:39:33,29/08/2026,5.4,309.9,km,HR 43 BC 1036,DRV789,309.9,HR43BC1036,,
TRP009515,MANDI001,WH-West,2026-07-12 02:24:16,07-12-2026 07:42 AM,5.3,165.4089602,miles,hr 45-CD-4203,DRV955,266.199256008268,HR45CD4203,,
TRP000097,MANDI028,WH-North,06-Mar-2026 06:14:13,2026-03-06 08:26:13,2.2,67.0459309,miles,HR-93-AB-3314,DRV749,107.89969843460601,HR93AB3314,,
TRP009204,MANDI043,WH-South,2026-05-18 17:19:25,2026-05-18 22:43:25,5.4,288.6,km,hr 27-AB-9993,DRV224,288.6,HR27AB9993,,
TRP006862,MANDI026,WH-West,2026-02-05 09:17:01,02-05-2026 05:11 PM,7.9,424.4,km,pb 86-CD-1156,DRV777,424.4,PB86CD1156,,
TRP002677,MANDI009,WH-North,30/03/2026 06:51,,6.9,403.1,km,,DRV477,403.1,,,
TRP003469,MANDI008,WH-Central,2026-08-10 11:15:07,11-Aug-2026 01:57:07,14.7,778.7,km,HR 70 CD 8407,DRV533,778.7,HR70CD8407,,
