sensor_id,timestamp,temperature,temp_unit,rainfall,rain_unit,humidity_percent,timestamp_clean,timestamp_ist,date_clean,temp_celsius,rain_mm
SEN003,2026-03-07 09:57:50 IST,82.2,F,,,66.0,,2026-03-07 09:57:50,2026-03-07,27.88888888888889,
SEN032,2026-05-27 03:40:33 IST,38.8°C,,24.1,mm,89.0,,2026-05-27 03:40:33,2026-05-27,38.8°C,24.1
SEN025,2026-02-06 13:59:20 UTC,95,f,1.72,in,73.0,,2026-02-06 19:29:20,2026-02-06,35.0,43.687999999999995
SEN011,2026-01-02 20:50:38 UTC,36.5,c,20.3,millimeters,,,2026-01-03 02:20:38,2026-01-03,36.5,20.3
SEN036,2026-03-21 15:41:00 IST,35.8°C,,45.4,millimeters,76.0,,2026-03-21 15:41:00,2026-03-21,35.8°C,45.4
SEN041,2026-06-29 20:07:53 IST,68.9,Fahrenheit,-19.1,mm,31.0,,2026-06-29 20:07:53,2026-06-29,20.500000000000004,-19.1
SEN010,2026-04-20 03:32:35 IST,23.2,C,25.1,MM,93.0,,2026-04-20 03:32:35,2026-04-20,23.2,25.1
SEN019,2026-05-02 01:30:32 UTC,61.3,Fahrenheit,25.0,mm,94.0,,2026-05-02 07:00:32,2026-05-02,16.27777777777778,25.0
SEN030,2026-01-01 23:41:26 IST,30.4,°C,23.8,mm,40.0,,2026-01-01 23:41:26,2026-01-01,30.4,23.8
SEN033,2026-04-04 07:25:07 IST,69.8,f,6.2,millimeters,66.0,,2026-04-04 07:25:07,2026-04-04,21.0,6.2
SEN013,2026-03-12 15:44:57 IST,20,Celsius,24.1,millimeters,49.0,,2026-03-12 15:44:57,2026-03-12,20,24.1
UNKNOWN,2026-01-27 01:48:03 IST,71.6,°F,18.3,MM,50.0,,2026-01-27 01:48:03,2026-01-27,21.999999999999996,18.3
SEN025,2026-04-06 09:32:26 IST,70.9,°F,-46.7,mm,62.0,,2026-04-06 09:32:26,2026-04-06,21.611111111111114,-46.7
SEN009,2026-08-13 13:12:36 UTC,20.7,c,47.7,MM,31.0,,2026-08-13 18:42:36,2026-08-13,20.7,47.7
SEN032,2026-07-31 17:42:53 IST,73.8,f,36.4,mm,45.0,,2026-07-31 17:42:53,2026-07-31,23.22222222222222,36.4
SEN015,2026-04-23 03:20:55 UTC,31.5,C,3.5,MM,43.0,,2026-04-23 08:50:55,2026-04-23,31.5,3.5
SEN029,2026-01-27 07:59:34 IST,68.9,°F,,,76.0,,2026-01-27 07:59:34,2026-01-27,20.500000000000004,
SEN022,2026-03-24 23:08:20 UTC,37.3,°C,46.2,millimeters,89.0,,2026-03-25 04:38:20,2026-03-25,37.3,46.2
SEN020,2026-03-27 22:06:40 UTC,19.9,°C,35.1,mm,,,2026-03-28 03:36:40,2026-03-28,19.9,35.1
SEN041,2026-01-07 12:17:15 IST,84,F,1.44,inches,87.0,,2026-01-07 12:17:15,2026-01-07,28.88888888888889,36.57599999999999
SEN040,2026-02-11 09:38:31 IST,33.7,Celsius,49.7,MM,32.0,,2026-02-11 09:38:31,2026-02-11,33.7,49.7
SEN001,2026-02-08 12:10:33 IST,82.4,F,0.6,inch,79.0,,2026-02-08 12:10:33,2026-02-08,28.000000000000004,15.239999999999998
SEN034,2026-03-30 07:13:47 UTC,39.3°C,,-0.9,mm,69.0,,2026-03-30 12:43:47,2026-03-30,39.3°C,-0.9
SEN018,2026-03-25 23:05:38 UTC,100.4,°F,34.7,millimeters,89.0,,2026-03-26 04:35:38,2026-03-26,38.0,34.7
SEN019,2026-03-30 21:42:04 IST,63.5,f,1.3,inches,74.0,,2026-03-30 21:42:04,2026-03-30,17.5,33.019999999999996
SEN036,2026-04-29 02:54:48 UTC,60.8,°F,-28.3,mm,59.0,,2026-04-29 08:24:48,2026-04-29,16.0,-28.3
SEN014,2026-05-07 11:37:21,28.9,C,1.89,in,46.0,,2026-05-07 11:37:21,2026-05-07,28.9,48.00599999999999
SEN044,03-20-2026 02:55 PM,91.2,°F,0.41,inches,43.0,,2026-03-20 14:55:00,2026-03-20,32.888888888888886,10.413999999999998
SEN010,2026-08-03 01:38:56 UTC,23.3,C,-31.7,mm,51.0,,2026-08-03 07:08:56,2026-08-03,23.3,-31.7
SEN006,2026-05-16 15:18:23 IST,36,c,-9.3,mm,33.0,,2026-05-16 15:18:23,2026-05-16,36,-9.3
SEN021,2026-05-09 01:29:59 UTC,81.3,f,37.6,millimeters,82.0,,2026-05-09 06:59:59,2026-05-09,27.38888888888889,37.6
SEN017,19/06/2026 01:30,95.2,f,35.2,mm,88.0,,2026-06-19 01:30:00,2026-06-19,35.111111111111114,35.2
SEN038,2026-05-08 00:40:15,102.2,Fahrenheit,47.4,millimeters,54.0,,2026-05-08 00:40:15,2026-05-08,39.0,47.4
SEN047,2026-08-27 01:35:37 IST,71.1,F,0.13,inches,41.0,,2026-08-27 01:35:37,2026-08-27,21.722222222222218,3.302
SEN044,2026-01-08 22:17:13 IST,73.6,°F,41.8,millimeters,,,2026-01-08 22:17:13,2026-01-08,23.111111111111107,41.8
SEN005,2026-04-19 10:15:34 IST,19.0°C,,20.8,millimeters,85.0,,2026-04-19 10:15:34,2026-04-19,19.0°C,20.8
SEN031,2026-01-09 12:01:15 IST,94.1,°F,49.9,mm,59.0,,2026-01-09 12:01:15,2026-01-09,34.5,49.9
SEN015,2026-06-27 04:15:25,103.5,Fahrenheit,22.6,mm,61.0,,2026-06-27 04:15:25,2026-06-27,39.72222222222222,22.6
SEN025,2026-07-28 02:49:55 UTC,90.5,°F,1.7,millimeters,54.0,,2026-07-28 08:19:55,2026-07-28,32.5,1.7
SEN039,2026-02-17T04:24:50,31.6,Celsius,,,85.0,,2026-02-17 04:24:50,2026-02-17,31.6,
SEN037,2026-02-27 14:50:11 IST,79.3,f,10.1,millimeters,65.0,,2026-02-27 14:50:11,2026-02-27,26.27777777777778,10.1
SEN001,2026-01-29 18:53:46 IST,26.6,°C,40.9,MM,40.0,,2026-01-29 18:53:46,2026-01-29,26.6,40.9
SEN013,2026-07-11 11:28:13,61.2,f,-39.9,mm,40.0,,2026-07-11 11:28:13,2026-07-11,16.22222222222222,-39.9
SEN010,2026-07-04 03:26:37 UTC,28.6°C,,4.4,MM,93.0,,2026-07-04 08:56:37,2026-07-04,28.6°C,4.4
SEN017,2026-07-15 20:59:18 UTC,25.6,C,-7.8,mm,52.0,,2026-07-16 02:29:18,2026-07-16,25.6,-7.8
SEN027,2026-08-23 19:56:55 IST,85.5,F,6.5,millimeters,90.0,,2026-08-23 19:56:55,2026-08-23,29.72222222222222,6.5
SEN020,2026-07-12 10:32:43 UTC,25.1,c,17.7,MM,93.0,,2026-07-12 16:02:43,2026-07-12,25.1,17.7
SEN020,2026-08-24 15:11:25 UTC,61.7,°F,0.06,in,95.0,,2026-08-24 20:41:25,2026-08-24,16.5,1.5239999999999998
SEN030,23/07/2026 13:27,81.9,Fahrenheit,33.1,mm,89.0,,2026-07-23 13:27:00,2026-07-23,27.722222222222225,33.1
SEN016,19/04/2026 05:08,32.9°C,,25.8,MM,95.0,,2026-04-19 05:08:00,2026-04-19,32.9°C,25.8
SEN003,2026-08-07 20:04:01 IST,98.4,f,24.6,mm,46.0,,2026-08-07 20:04:01,2026-08-07,36.888888888888886,24.6
SEN024,31/08/2026 10:01,16.9,Celsius,-26.7,mm,32.0,,2026-08-31 10:01:00,2026-08-31,16.9,-26.7
SEN034,2026-07-23 23:32:42 IST,26.3,Celsius,0.61,inches,33.0,,2026-07-23 23:32:42,2026-07-23,26.3,15.493999999999998
SEN012,2026-05-24 11:06:35 IST,29.7,C,8.6,MM,30.0,,2026-05-24 11:06:35,2026-05-24,29.7,8.6
SEN028,2026-02-04 19:29:03 IST,39.1,°C,46.6,millimeters,45.0,,2026-02-04 19:29:03,2026-02-04,39.1,46.6
SEN012,2026-04-20 06:42:09 IST,15.4,Celsius,-25.3,mm,31.0,,2026-04-20 06:42:09,2026-04-20,15.4,-25.3
SEN048,2026-09-06 20:16:00 UTC,35.5,Celsius,0.73,in,77.0,,2026-09-07 01:46:00,2026-09-07,35.5,18.541999999999998
SEN041,06-27-2026 12:43 PM,35.2°C,,20.9,mm,35.0,,2026-06-27 12:43:00,2026-06-27,35.2°C,20.9
SEN011,2026-07-15 08:26:21 UTC,39.3,C,42.9,millimeters,56.0,,2026-07-15 13:56:21,2026-07-15,39.3,42.9
SEN012,2026-08-11 14:58:22 UTC,21.7,c,1.25,inch,83.0,,2026-08-11 20:28:22,2026-08-11,21.7,31.75
SEN043,2026-07-27 08:53:39 UTC,35.8°C,,0.04,inches,85.0,,2026-07-27 14:23:39,2026-07-27,35.8°C,1.016
SEN029,2026-08-13 11:34:00 UTC,79.5,F,14.2,MM,48.0,,2026-08-13 17:04:00,2026-08-13,26.38888888888889,14.2
SEN036,2026-06-15 03:51:27 UTC,91.8,f,3.6,MM,30.0,,2026-06-15 09:21:27,2026-06-15,33.22222222222222,3.6
SEN034,2026-08-11 07:55:58 IST,61.2,Fahrenheit,39.5,millimeters,95.0,,2026-08-11 07:55:58,2026-08-11,16.22222222222222,39.5
SEN003,2026-02-21 07:53:15 IST,87.3,f,31.5,mm,35.0,,2026-02-21 07:53:15,2026-02-21,30.72222222222222,31.5
SEN016,2026-08-08 03:37:21 IST,22.2°C,,35.0,millimeters,64.0,,2026-08-08 03:37:21,2026-08-08,22.2°C,35.0
SEN017,2026-06-23 05:37:02 UTC,27.8°C,,27.8,millimeters,54.0,,2026-06-23 11:07:02,2026-06-23,27.8°C,27.8
SEN006,2026-03-09 17:10:33 IST,24.5,Celsius,1.85,inches,53.0,,2026-03-09 17:10:33,2026-03-09,24.5,46.99
SEN026,2026-02-28 06:37:06 UTC,60.4,f,30.2,MM,48.0,,2026-02-28 12:07:06,2026-02-28,15.777777777777779,30.2
SEN042,2026-09-08 15:35:15 UTC,68.2,°F,36.6,MM,32.0,,2026-09-08 21:05:15,2026-09-08,20.11111111111111,36.6
SEN049,2026-01-08 11:36:41 IST,64.8,F,1.23,in,76.0,,2026-01-08 11:36:41,2026-01-08,18.22222222222222,31.241999999999997
SEN015,2026-05-29 14:30:58 UTC,69.4,°F,35.0,MM,73.0,,2026-05-29 20:00:58,2026-05-29,20.777777777777782,35.0
SEN010,2026-04-02 14:35:40 UTC,39.8,°C,10.9,MM,60.0,,2026-04-02 20:05:40,2026-04-02,39.8,10.9
SEN024,2026-03-03 03:47:32 IST,34.9°C,,0.13,inch,86.0,,2026-03-03 03:47:32,2026-03-03,34.9°C,3.302
SEN043,2026-02-23 22:39:51 IST,75.2,Fahrenheit,15.5,MM,54.0,,2026-02-23 22:39:51,2026-02-23,24.0,15.5
SEN022,2026-05-08 22:33:23 UTC,19.2,°C,41.5,mm,73.0,,2026-05-09 04:03:23,2026-05-09,19.2,41.5
UNKNOWN,2026-06-06T10:49:01,39.4,°C,,,32.0,,2026-06-06 10:49:01,2026-06-06,39.4,
SEN005,02-19-2026 07:01 AM,33.4,C,-36.1,mm,58.0,,2026-02-19 07:01:00,2026-02-19,33.4,-36.1
SEN013,2026-04-05 04:06:44 UTC,20.4,C,37.4,MM,69.0,,2026-04-05 09:36:44,2026-04-05,20.4,37.4
SEN032,2026-07-07 10:20:45 IST,25.1,Celsius,0.7,MM,47.0,,2026-07-07 10:20:45,2026-07-07,25.1,0.7
SEN023,2026-04-10 14:53:25 UTC,20.8,°C,24.9,millimeters,63.0,,2026-04-10 20:23:25,2026-04-10,20.8,24.9
SEN035,2026-09-09 08:53:34 UTC,24.5,Celsius,9.4,MM,42.0,,2026-09-09 14:23:34,2026-09-09,24.5,9.4
SEN008,2026-05-09 13:10:41 IST,77,f,49.4,MM,74.0,,2026-05-09 13:10:41,2026-05-09,25.0,49.4
SEN022,2026-01-05 15:29:01 UTC,96.3,f,-9.3,mm,69.0,,2026-01-05 20:59:01,2026-01-05,35.72222222222222,-9.3
SEN004,2026-01-08 07:40:03 IST,64.4,f,16.2,mm,73.0,,2026-01-08 07:40:03,2026-01-08,18.000000000000004,16.2
SEN010,2026-04-24 06:17:47 IST,90.5,f,15.9,millimeters,,,2026-04-24 06:17:47,2026-04-24,32.5,15.9
SEN012,2026-07-08 07:20:19 IST,17.2°C,,13.4,millimeters,66.0,,2026-07-08 07:20:19,2026-07-08,17.2°C,13.4
SEN033,2026-08-16 21:33:20 IST,86.5,Fahrenheit,1.91,inches,86.0,,2026-08-16 21:33:20,2026-08-16,30.27777777777778,48.513999999999996
SEN018,2026-08-06 23:08:40 IST,99.1,F,-36.7,mm,,,2026-08-06 23:08:40,2026-08-06,37.27777777777778,-36.7
SEN025,2026-04-09 22:52:47 UTC,71.1,Fahrenheit,42.8,MM,63.0,,2026-04-10 04:22:47,2026-04-10,21.722222222222218,42.8
SEN019,2026-03-17T11:37:36,38.9,c,1.13,in,59.0,,2026-03-17 11:37:36,2026-03-17,38.9,28.701999999999995
SEN009,2026-07-02 10:16:14,39.2,C,,,68.0,,2026-07-02 10:16:14,2026-07-02,39.2,
SEN042,2026-06-25 11:26:13 IST,30.2,°C,-9.0,mm,40.0,,2026-06-25 11:26:13,2026-06-25,30.2,-9.0
UNKNOWN,2026-03-06 07:07:35 UTC,92.8,F,,,45.0,,2026-03-06 12:37:35,2026-03-06,33.77777777777778,
SEN007,12/08/2026 01:05,16.9°C,,24.3,MM,89.0,,2026-12-08 01:05:00,2026-12-08,16.9°C,24.3
