arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,crop_name_clean,date_clean,quantity_quintals
ARR0023966,2026-03-03,MANDI017,Sarso,PBW-343,15999.0,Kilo,125.0,Mustard,2026-03-03,159.99
ARR0003048,2026-01-24,MANDI016,Cotton,Premium,7845.0,KGS,54.0,Cotton,2026-01-24,78.45
ARR0013641,18/03/2026,MANDI018,Sarso,Premium,342.39,Qtl,143.0,Mustard,2026-03-18,342.39
ARR0019876,2026/07/12,MANDI054,Basmati,,32227.0,Kgs,127.0,Rice,2026-12-07,322.27
ARR0020778,08.03.2026,MANDI024,mustard,HD-2967,12790.0,Kilo,113.0,Mustard,2026-03-08,127.9
ARR0002765,2026-02-28,MANDI013,Sarson,Premium,361.74,Q,62.0,Mustard,2026-02-28,361.74
ARR0014145,2026-01-31,MANDI006,Ganna,Pusa-1121,469.92,qtl,18.0,Sugarcane,2026-01-31,469.92
ARR0023854,06/05/2026,MANDI007,sugarcane,,-177.05,KG,46.0,Sugarcane,2026-05-06,-1.7705000000000002
ARR0012859,2026/03/20,MANDI057,Cotton,PBW-343,34.129000000000005,T,,Cotton,2026-03-20,341.2900000000001
ARR0023766,2026-02-02,MANDI025,धान,HD-2967,17588.0,Kgs,88.0,Rice,2026-02-02,175.88
ARR0009572,10.05.2026,MANDI041,Makka,Premium,17.603,T,38.0,Maize,2026-05-10,176.03000000000003
ARR0022207,2026-03-25,MANDI027,Basmati,HD-2967,47236.0,Kgs,11.0,Rice,2026-03-25,472.36
ARR0005385,2026/08/07,MANDI028,कपास,Hybrid,12.677,tonnes,5.0,Cotton,2026-07-08,126.77
ARR0020517,2026-06-02,MANDI026,Gehun,PBW-343,28.492,Tonnes,99.0,Wheat,2026-02-06,284.92
ARR0015213,27.02.2026,MANDI005,Paddy,PBW-343,54.32,qtl,122.0,Rice,2026-02-27,54.32
ARR0010273,2026-03-06,MANDI021,Sarso,,200.26,Qtl,11.0,Mustard,2026-06-03,200.26
ARR0023476,2026/06/05,MANDI023,Sarson,PBW-343,312.23,Qtl,18.0,Mustard,2026-05-06,312.23
ARR0013815,06-08-2026,MANDI009,Makka,HD-2967,27041.000000000004,Kilo,83.0,Maize,2026-08-06,270.41
ARR0023287,2026/02/08,MANDI003,Narma,PBW-343,4.441,MT,127.0,Cotton,2026-08-02,44.41
ARR0016192,2026-07-03,MANDI023,Corn,,455.6,quintal,59.0,Maize,2026-03-07,455.6
ARR0011823,2026/01/13,MANDI004,Chawal,HD-2967,60.33,qtl,124.0,Rice,2026-01-13,60.33
ARR0005816,24/01/2026,MANDI039,Sugarcane,PBW-343,158.3,quintal,135.0,Sugarcane,2026-01-24,158.3
ARR0010009,2026-03-10,MANDI004,paddy,,29139.999999999996,kg,,Rice,2026-10-03,291.4
ARR0022129,2026/02/10,MANDI040,गन्ना,Local,45813.0,KGS,131.0,Sugarcane,2026-10-02,458.13
ARR0020630,16/08/2026,MANDI028,चावल,Local,32583.0,kg,36.0,Rice,2026-08-16,325.83
ARR0005888,2026/07/03,MANDI049,Corn,,182.46,quintal,,Maize,2026-03-07,182.46
ARR0006650,06.09.2026,MANDI043,Rice,Local,18275.0,KG,128.0,Rice,2026-09-06,182.75
ARR0002363,09/03/2026,MANDI026,corn,Pusa-1121,23947.0,KGS,29.0,Maize,2026-03-09,239.47
ARR0010446,08-05-2026,MANDI026,Makki,Pusa-1121,17.899,tonnes,21.0,Maize,2026-05-08,178.99
ARR0009069,05-15-2026,MANDI022,Narma,Pusa-1121,5918.0,Kilo,76.0,Cotton,2026-05-15,59.18
ARR0020854,18-Jun-2026,MANDI035,Sugarcane,Pusa-1121,158.72,Q,,Sugarcane,2026-06-18,158.72
ARR0023442,2026-05-20,MANDI056,Cotton,,25827.999999999996,KGS,73.0,Cotton,2026-05-20,258.28
ARR0011135,20-Jun-2026,MANDI035,paddy,Premium,37.528,T,138.0,Rice,2026-06-20,375.28
,08-May-2026,MANDI002,Makka,HD-2967,28557.0,Kgs,46.0,Maize,2026-05-08,285.57
ARR0001203,04-04-2026,MANDI045,कपास,PBW-343,2683.0,KGS,12.0,Cotton,2026-04-04,26.83
ARR0009407,2026/04/05,MANDI051,Mustard,Local,108.06,Quintals,78.0,Mustard,2026-05-04,108.06
ARR0013714,31-Mar-2026,MANDI038,cotton,Premium,37.288,Tonnes,41.0,Cotton,2026-03-31,372.88
ARR0002798,2026-04-08,MANDI043,Narma,Hybrid,354.98,Q,11.0,Cotton,2026-08-04,354.98
ARR0006770,2026/06/25,MANDI015,Gehun,Hybrid,141.83,Quintals,134.0,Wheat,2026-06-25,141.83
ARR0019634,2026-03-25,MANDI013,कपास,,18.137,tonnes,45.0,Cotton,2026-03-25,181.37
ARR0012525,06-25-2026,MANDI043,Makka,Premium,334.11,Q,119.0,Maize,2026-06-25,334.11
ARR0016292,2026/02/05,MANDI049,Makki,Pusa-1121,41458.0,kg,36.0,Maize,2026-05-02,414.58
ARR0004049,2026-04-13,MANDI003,Dhaan,Pusa-1121,21412.0,KG,56.0,Rice,2026-04-13,214.12
ARR0002716,2026/07/17,MANDI057,Sugarcane,Hybrid,41389.0,Kgs,106.0,Sugarcane,2026-07-17,413.89
ARR0008333,2026/01/15,MANDI054,Wheat,,-357.18,KG,133.0,Wheat,2026-01-15,-3.5718
ARR0000429,08-25-2026,MANDI039,Cotton,Hybrid,12.656,MT,76.0,Cotton,2026-08-25,126.56
ARR0024925,04-Aug-2026,MANDI024,wheat,,18344.0,KG,83.0,Wheat,2026-08-04,183.44
ARR0019727,30-Apr-2026,MANDI034,कपास,PBW-343,40381.0,KGS,81.0,Cotton,2026-04-30,403.81
ARR0002477,03-28-2026,MANDI020,Chawal,Local,31.139,tonnes,150.0,Rice,2026-03-28,311.39
ARR0000342,17.06.2026,MANDI033,Narma,Premium,191.48,Q,30.0,Cotton,2026-06-17,191.48
ARR0023820,07-25-2026,MANDI029,Mustard,Local,27200.0,KGS,,Mustard,2026-07-25,272.0
ARR0010204,21.07.2026,MANDI006,Paddy,,2584.0,Kgs,102.0,Rice,2026-07-21,25.84
ARR0020708,2026/06/01,MANDI054,Narma,Hybrid,41.019999999999996,MT,60.0,Cotton,2026-01-06,410.20000000000005
ARR0020105,02-19-2026,MANDI028,Sarso,Pusa-1121,48.563,Tonnes,60.0,Mustard,2026-02-19,485.63
ARR0019842,30/03/2026,MANDI056,sugarcane,Pusa-1121,2948.0,Kgs,112.0,Sugarcane,2026-03-30,29.48
ARR0017781,24-May-2026,MANDI031,Ganne,PBW-343,46065.0,kg,46.0,Sugarcane,2026-05-24,460.65
ARR0009910,28.04.2026,MANDI041,cotton,Pusa-1121,372.43,Q,42.0,Cotton,2026-04-28,372.43
ARR0008506,03.02.2026,MANDI024,Chawal,Hybrid,74.11,Qtl,96.0,Rice,2026-02-03,74.11
ARR0023886,2026-07-12,MANDI011,Makka,Local,15663.999999999998,KG,14.0,Maize,2026-12-07,156.64
ARR0006149,27/04/2026,MANDI041,Narma,Pusa-1121,4638.0,kg,103.0,Cotton,2026-04-27,46.38
ARR0023964,20-Jul-2026,MANDI008,धान,,81.67,qtl,,Rice,2026-07-20,81.67
ARR0002588,06-05-2026,MANDI040,सरसों,,4.489,MT,137.0,Mustard,2026-05-06,44.89
ARR0015103,22.02.2026,MANDI050,Cotton,Pusa-1121,24245.0,Kgs,73.0,Cotton,2026-02-22,242.45
ARR0011288,04/01/2026,MANDI043,कपास,Pusa-1121,27258.999999999996,kg,43.0,Cotton,2026-01-04,272.59
ARR0013711,29.03.2026,MANDI028,sugarcane,Hybrid,47.79,Q,15.0,Sugarcane,2026-03-29,47.79
ARR0009578,2026-04-12,MANDI016,corn,Pusa-1121,309.79,Qtl,20.0,Maize,2026-12-04,309.79
ARR0005981,05/04/2026,MANDI004,Rice,Premium,22842.0,kg,145.0,Rice,2026-04-05,228.42
ARR0023291,11/02/2026,MANDI020,गेहूं,Premium,80.86,Q,89.0,Wheat,2026-02-11,80.86
ARR0012458,08-May-2026,MANDI039,Mustard,Pusa-1121,276.83,Quintals,24.0,Mustard,2026-05-08,276.83
ARR0016696,31/01/2026,MANDI039,Makka,Pusa-1121,6202.0,Kilo,132.0,Maize,2026-01-31,62.02
ARR0004195,2026-07-17,MANDI035,mustard,PBW-343,16784.0,Kilo,129.0,Mustard,2026-07-17,167.84
ARR0014009,04/08/2026,MANDI007,Corn,,418.67,quintal,85.0,Maize,2026-08-04,418.67
ARR0002509,31/05/2026,MANDI013,मक्का,HD-2967,2.2,tonnes,141.0,Maize,2026-05-31,22.0
ARR0017972,26.02.2026,MANDI034,Dhaan,Local,29339.999999999996,kg,6.0,Rice,2026-02-26,293.4
ARR0002169,2026/01/09,MANDI039,Dhaan,Hybrid,-54.89,KG,41.0,Rice,2026-09-01,-0.5489
,08-19-2026,MANDI044,wheat,Hybrid,16.017,T,138.0,Wheat,2026-08-19,160.17
ARR0003269,2026/04/03,MANDI046,Chawal,PBW-343,41.098,tonnes,43.0,Rice,2026-03-04,410.98
ARR0009004,27-Mar-2026,MANDI023,wheat,,-455.48,KG,120.0,Wheat,2026-03-27,-4.5548
ARR0018741,20/02/2026,MANDI056,Ganna,Premium,256.67,Qtl,31.0,Sugarcane,2026-02-20,256.67
ARR0014531,03-Feb-2026,MANDI036,कपास,,-453.42,KG,38.0,Cotton,2026-02-03,-4.5342
ARR0003705,2026-04-10,MANDI002,Mustard,Hybrid,24.500999999999998,T,,Mustard,2026-10-04,245.01000000000002
ARR0010827,29/05/2026,MANDI016,Chawal,Premium,156.22,Qtl,95.0,Rice,2026-05-29,156.22
ARR0018637,04.04.2026,MANDI046,Dhaan,Hybrid,-77.12,Qtl,67.0,Rice,2026-04-04,-77.12
ARR0007570,29-Jul-2026,MANDI019,mustard,Premium,32635.000000000004,kg,105.0,Mustard,2026-07-29,326.35
ARR0011179,30/03/2026,MANDI040,Sarso,,32.755,Tonnes,26.0,Mustard,2026-03-30,327.55
ARR0009296,2026/05/10,MANDI001,Makka,,2.35,MT,,Maize,2026-10-05,23.5
ARR0019940,21.08.2026,MANDI022,Sugarcane,HD-2967,1.6329999999999998,Tonnes,68.0,Sugarcane,2026-08-21,16.33
ARR0004811,26.05.2026,MANDI020,Rice,Hybrid,8974.0,Kilo,77.0,Rice,2026-05-26,89.74
ARR0020960,2026/03/03,MANDI047,Sarson,Premium,32314.999999999996,Kilo,,Mustard,2026-03-03,323.15
ARR0002791,2026/02/06,MANDI055,Sarson,PBW-343,21128.0,Kgs,47.0,Mustard,2026-06-02,211.28
ARR0012957,02-10-2026,MANDI019,Chawal,Local,27.808,Tonnes,36.0,Rice,2026-10-02,278.08
ARR0014544,2026/07/31,MANDI022,मक्का,Pusa-1121,11.488,MT,116.0,Maize,2026-07-31,114.88
ARR0013198,25/04/2026,MANDI010,Wheat,Pusa-1121,59.22,Qtl,43.0,Wheat,2026-04-25,59.22
ARR0007340,03-23-2026,MANDI012,Kanak,Premium,21570.0,Kgs,80.0,Wheat,2026-03-23,215.7
ARR0020658,08-01-2026,MANDI021,Paddy,Hybrid,40.966,MT,96.0,Rice,2026-01-08,409.66
ARR0001088,2026/05/07,MANDI017,Sarson,Pusa-1121,495.58,qtl,94.0,Mustard,2026-07-05,495.58
ARR0024650,18/08/2026,MANDI049,Mustard,Hybrid,-11.34,KG,61.0,Mustard,2026-08-18,-0.1134
ARR0021890,06-02-2026,MANDI009,Sugarcane,,493.91,quintal,84.0,Sugarcane,2026-02-06,493.91
ARR0017611,12-Apr-2026,MANDI024,मक्का,Hybrid,165.63,Quintals,77.0,Maize,2026-04-12,165.63
ARR0024181,07/05/2026,MANDI015,Sugarcane,Local,110.39,Qtl,20.0,Sugarcane,2026-05-07,110.39
ARR0004419,03-21-2026,MANDI006,Sugarcane,Hybrid,64.7,qtl,105.0,Sugarcane,2026-03-21,64.7
ARR0006199,11/02/2026,MANDI053,Sugarcane,Local,153.27,qtl,79.0,Sugarcane,2026-02-11,153.27
ARR0014957,2026/01/09,MANDI019,Sarso,Hybrid,40396.0,KG,79.0,Mustard,2026-09-01,403.96
ARR0023574,26.02.2026,MANDI023,Mustard,Premium,431.18,quintal,129.0,Mustard,2026-02-26,431.18
ARR0017021,14.03.2026,MANDI020,Paddy,Pusa-1121,2536.0,Kgs,72.0,Rice,2026-03-14,25.36
ARR0001428,2026-07-10,MANDI024,Maize,Hybrid,-77.75,Qtl,106.0,Maize,2026-10-07,-77.75
ARR0002493,14-Apr-2026,MANDI006,paddy,Local,-115.25,KG,63.0,Rice,2026-04-14,-1.1525
ARR0013505,06/06/2026,MANDI052,mustard,,96.35,quintal,,Mustard,2026-06-06,96.35
ARR0002010,2026-03-21,MANDI033,WHEAT,Local,-432.01,KG,12.0,Wheat,2026-03-21,-4.3201
ARR0002534,02-Jul-2026,MANDI007,सरसों,Pusa-1121,4.398,tonnes,21.0,Mustard,2026-07-02,43.98
ARR0009802,2026-09-07,MANDI026,cotton,HD-2967,486.01,Quintals,12.0,Cotton,2026-07-09,486.01
ARR0015940,13.03.2026,MANDI028,Maize,,298.47,quintal,18.0,Maize,2026-03-13,298.47
ARR0023731,2026/03/15,MANDI008,Ganna,HD-2967,38.977999999999994,tonnes,,Sugarcane,2026-03-15,389.78
ARR0018857,01-25-2026,MANDI042,गन्ना,Hybrid,151.28,Quintals,113.0,Sugarcane,2026-01-25,151.28
ARR0010088,2026-01-09,MANDI049,सरसों,PBW-343,-136.17,Qtl,,Mustard,2026-09-01,-136.17
ARR0020189,24/05/2026,MANDI057,Makka,,241.75,Quintals,68.0,Maize,2026-05-24,241.75
ARR0022768,28-Jun-2026,MANDI024,सरसों,Premium,44371.0,Kilo,42.0,Mustard,2026-06-28,443.71
ARR0018919,17/03/2026,MANDI024,Sarson,,7806.999999999999,Kgs,132.0,Mustard,2026-03-17,78.07
ARR0004149,04/06/2026,MANDI003,Rice,Premium,318.3,Q,48.0,Rice,2026-06-04,318.3
ARR0011429,2026/08/04,MANDI042,WHEAT,Local,19312.0,KGS,101.0,Wheat,2026-04-08,193.12
ARR0018153,2026/02/05,MANDI027,Narma,Local,45102.0,KGS,141.0,Cotton,2026-05-02,451.02
ARR0018527,2026-08-01,MANDI010,Kanak,Local,42538.0,kg,144.0,Wheat,2026-01-08,425.38
ARR0010793,2026-08-23,MANDI022,Chawal,Hybrid,42.579,T,132.0,Rice,2026-08-23,425.79
ARR0006601,22.06.2026,MANDI015,सरसों,HD-2967,-147.26,KG,5.0,Mustard,2026-06-22,-1.4726
ARR0021788,2026-06-07,MANDI016,Ganna,Hybrid,15.366999999999999,T,143.0,Sugarcane,2026-07-06,153.67000000000002
ARR0019846,2026-06-21,MANDI024,मक्का,Pusa-1121,25970.999999999996,Kgs,40.0,Maize,2026-06-21,259.71
ARR0015205,25.01.2026,MANDI011,Basmati,HD-2967,355.64,Quintals,56.0,Rice,2026-01-25,355.64
ARR0006070,06/06/2026,MANDI034,Wheat,,31.294,Tonnes,65.0,Wheat,2026-06-06,312.94
ARR0002035,06.06.2026,MANDI049,मक्का,,15.395,tonnes,97.0,Maize,2026-06-06,153.95
ARR0002214,01-24-2026,MANDI044,Corn,Pusa-1121,2592.0,Kilo,112.0,Maize,2026-01-24,25.92
ARR0004860,30-Mar-2026,MANDI013,mustard,Hybrid,9.693000000000001,MT,143.0,Mustard,2026-03-30,96.92999999999999
ARR0012995,2026-06-04,MANDI057,mustard,,38554.0,Kilo,26.0,Mustard,2026-04-06,385.54
ARR0002230,2026-05-31,MANDI033,WHEAT,Pusa-1121,36.46,tonnes,127.0,Wheat,2026-05-31,364.6
ARR0002276,30.08.2026,MANDI057,Ganne,,-143.27,KG,113.0,Sugarcane,2026-08-30,-1.4327
ARR0005679,03/03/2026,MANDI015,Kapas,Hybrid,140.36,Q,51.0,Cotton,2026-03-03,140.36
ARR0004786,2026/08/01,MANDI015,गन्ना,,18558.0,kg,51.0,Sugarcane,2026-01-08,185.58
ARR0004085,19.05.2026,MANDI056,मक्का,PBW-343,106.05,Qtl,38.0,Maize,2026-05-19,106.05
ARR0001476,2026-05-19,MANDI048,Ganne,Local,323.65,qtl,68.0,Sugarcane,2026-05-19,323.65
ARR0014866,15-Apr-2026,MANDI032,Ganna,PBW-343,402.65,Quintals,53.0,Sugarcane,2026-04-15,402.65
ARR0014885,26-Jul-2026,MANDI035,Basmati,Premium,441.08,Quintals,14.0,Rice,2026-07-26,441.08
ARR0017324,30/01/2026,MANDI029,Mustard,Premium,31141.000000000004,KG,140.0,Mustard,2026-01-30,311.41
ARR0018785,08.09.2026,MANDI009,wheat,Premium,16.848,T,81.0,Wheat,2026-09-08,168.48
ARR0014174,2026-04-23,MANDI031,Ganne,,24635.0,Kgs,83.0,Sugarcane,2026-04-23,246.35
ARR0012348,16/05/2026,MANDI057,Corn,Pusa-1121,2.8,Tonnes,,Maize,2026-05-16,28.0
ARR0002860,25.08.2026,MANDI038,धान,,16244.0,KG,90.0,Rice,2026-08-25,162.44
,04-06-2026,MANDI008,Kanak,Pusa-1121,24.543,T,116.0,Wheat,2026-06-04,245.43
ARR0012382,2026-06-29,MANDI011,Sarso,Hybrid,3.6390000000000002,Tonnes,,Mustard,2026-06-29,36.39
ARR0011204,10/03/2026,MANDI045,Corn,PBW-343,31170.0,kg,,Maize,2026-03-10,311.7
ARR0005655,01-09-2026,MANDI025,Paddy,Premium,46.13,tonnes,124.0,Rice,2026-09-01,461.3
ARR0023591,2026-05-18,MANDI039,Cotton,HD-2967,160.01,Qtl,50.0,Cotton,2026-05-18,160.01
ARR0022554,11.03.2026,MANDI055,चावल,Hybrid,33341.0,KG,24.0,Rice,2026-03-11,333.41
ARR0024390,08.05.2026,MANDI042,Basmati,,39363.0,kg,7.0,Rice,2026-05-08,393.63
ARR0008952,25/04/2026,MANDI002,sugarcane,Pusa-1121,394.35,Qtl,89.0,Sugarcane,2026-04-25,394.35
ARR0023352,2026-06-06,MANDI044,Gehun,,25.205000000000002,T,6.0,Wheat,2026-06-06,252.04999999999998
ARR0004259,07-10-2026,MANDI012,Cotton,,38822.0,kg,22.0,Cotton,2026-10-07,388.22
ARR0024540,14/06/2026,MANDI035,Ganne,HD-2967,38.59,Quintals,,Sugarcane,2026-06-14,38.59
ARR0013252,2026/07/30,MANDI003,Narma,HD-2967,-217.71,KG,93.0,Cotton,2026-07-30,-2.1771000000000003
ARR0012739,2026-07-30,MANDI045,Dhaan,,-388.99,Qtl,,Rice,2026-07-30,-388.99
ARR0016432,02-19-2026,MANDI027,कपास,Premium,480.16,quintal,128.0,Cotton,2026-02-19,480.16
ARR0001973,01-08-2026,MANDI040,Sarson,PBW-343,43559.0,Kgs,115.0,Mustard,2026-08-01,435.59
ARR0019423,2026-01-31,MANDI039,Sarso,Premium,29.219,Tonnes,148.0,Mustard,2026-01-31,292.19
ARR0002502,2026/06/23,MANDI041,Dhaan,Premium,12.386,T,63.0,Rice,2026-06-23,123.85999999999999
ARR0020339,31/03/2026,MANDI028,Sarson,PBW-343,1084.0,Kilo,127.0,Mustard,2026-03-31,10.84
ARR0007666,31/07/2026,MANDI053,Gehun,,258.79,qtl,69.0,Wheat,2026-07-31,258.79
ARR0000753,2026-07-11,MANDI008,WHEAT,Pusa-1121,48146.0,Kilo,36.0,Wheat,2026-11-07,481.46
ARR0009620,07-19-2026,MANDI017,Maize,PBW-343,41.35,qtl,33.0,Maize,2026-07-19,41.35
ARR0004038,14/07/2026,MANDI040,धान,PBW-343,355.78,Quintals,69.0,Rice,2026-07-14,355.78
ARR0003704,2026/01/01,MANDI010,कपास,Premium,-34.57,KG,7.0,Cotton,2026-01-01,-0.3457
ARR0014760,20-Jan-2026,MANDI047,मक्का,Pusa-1121,40.72,MT,,Maize,2026-01-20,407.2
ARR0008484,04-09-2026,MANDI039,sugarcane,Pusa-1121,49169.0,KGS,63.0,Sugarcane,2026-09-04,491.69
ARR0007108,28/02/2026,MANDI055,corn,PBW-343,22.572,T,108.0,Maize,2026-02-28,225.72
ARR0000675,02.07.2026,MANDI050,Narma,HD-2967,176.92,qtl,12.0,Cotton,2026-07-02,176.92
ARR0005515,2026/02/24,MANDI054,Sarso,,178.87,Qtl,70.0,Mustard,2026-02-24,178.87
ARR0023195,01.05.2026,MANDI036,सरसों,Premium,40.870999999999995,MT,136.0,Mustard,2026-05-01,408.7099999999999
ARR0008616,20/01/2026,MANDI004,Sarso,Local,155.42,qtl,147.0,Mustard,2026-01-20,155.42
ARR0024014,21-Apr-2026,MANDI017,Ganne,Hybrid,17.15,T,73.0,Sugarcane,2026-04-21,171.5
ARR0006483,2026-04-29,MANDI034,गन्ना,,189.87,Qtl,93.0,Sugarcane,2026-04-29,189.87
ARR0003190,09-Aug-2026,MANDI027,mustard,,44.707,MT,109.0,Mustard,2026-08-09,447.07
ARR0013399,2026-04-05,MANDI045,गेहूं,Premium,415.6,Q,43.0,Wheat,2026-05-04,415.6
ARR0005184,2026-02-11,MANDI026,wheat,Local,1.057,MT,,Wheat,2026-11-02,10.57
ARR0023040,19.02.2026,MANDI038,Cotton,PBW-343,355.5,Qtl,18.0,Cotton,2026-02-19,355.5
ARR0010762,2026-03-07,MANDI038,Narma,Pusa-1121,29679.000000000004,Kgs,140.0,Cotton,2026-07-03,296.79
ARR0022839,07-06-2026,MANDI024,GEHUN,Premium,-322.05,Qtl,59.0,Wheat,2026-06-07,-322.05
ARR0000200,26.03.2026,MANDI031,गेहूं,,37.063,tonnes,117.0,Wheat,2026-03-26,370.63
ARR0018054,03/02/2026,MANDI021,cotton,,71.58,quintal,126.0,Cotton,2026-02-03,71.58
ARR0021355,07/01/2026,MANDI053,Ganna,Local,34856.0,Kilo,8.0,Sugarcane,2026-01-07,348.56
ARR0008050,04-27-2026,MANDI022,Kanak,,22936.0,KG,107.0,Wheat,2026-04-27,229.36
ARR0021340,2026-03-10,MANDI021,Wheat,HD-2967,13321.0,Kilo,77.0,Wheat,2026-10-03,133.21
ARR0013462,05-27-2026,MANDI035,सरसों,Local,48838.0,KGS,102.0,Mustard,2026-05-27,488.38
ARR0013518,2026/08/03,MANDI024,WHEAT,Local,32.26,qtl,22.0,Wheat,2026-03-08,32.26
ARR0022679,2026/06/22,MANDI022,Rice,Premium,310.12,Q,,Rice,2026-06-22,310.12
ARR0021328,2026-06-17,MANDI011,Rice,HD-2967,30.291000000000004,Tonnes,87.0,Rice,2026-06-17,302.91
ARR0021259,2026-03-07,MANDI036,wheat,Pusa-1121,201.02,Qtl,130.0,Wheat,2026-07-03,201.02
ARR0008961,2026-06-03,MANDI004,Mustard,Hybrid,269.64,qtl,19.0,Mustard,2026-03-06,269.64
ARR0012533,2026-08-28,MANDI015,सरसों,Local,164.03,Q,36.0,Mustard,2026-08-28,164.03
ARR0005019,16.07.2026,MANDI048,Mustard,Local,103.01,Qtl,66.0,Mustard,2026-07-16,103.01
ARR0014712,2026/02/24,MANDI041,Wheat,PBW-343,2.2489999999999997,MT,63.0,Wheat,2026-02-24,22.489999999999995
ARR0018335,01-29-2026,MANDI028,Makki,Pusa-1121,22.728,MT,20.0,Maize,2026-01-29,227.28000000000003
ARR0006137,04/06/2026,MANDI048,Makki,PBW-343,23.148,tonnes,47.0,Maize,2026-06-04,231.48
,19.05.2026,MANDI023,Sugarcane,PBW-343,41.294,T,128.0,Sugarcane,2026-05-19,412.93999999999994
ARR0021669,06-20-2026,MANDI012,Makka,Hybrid,46353.0,Kgs,137.0,Maize,2026-06-20,463.53
