record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,crop_name_clean,date_clean,min_price_clean,max_price_clean,modal_price_clean,msp_clean
PR010213,02-17-2026,MANDI043,Jalandhar,wheat,"Rs. 1,958","INR 2,157","2,057.30/-",2275,Wheat,2026-02-17,0.1958,2157.0,2057.3,2275.0
PR011212,31-May-2026,MANDI008,,sugarcane,3280.592160219738,4064.73,"₹3,672.66","INR 3,500",Sugarcane,2026-05-31,3280.592160219738,4064.73,3672.66,3500.0
PR011958,02/04/2026,,Bathinda,Kanak,"₹2,215.53","2,450.04/-",2332.79,2275,Wheat,2026-04-02,2215.53,2450.04,2332.79,2275.0
PR002913,08.08.2026,MANDI027,Sirsa,Mustard,5826.290509325942,"INR 6,273",6049.51,"INR 5,650",Mustard,2026-08-08,5826.290509325942,6273.0,6049.51,5650.0
PR000358,31/01/2026,MANDI030,Ludhiana,Corn,"₹1,867.38",,"Rs. 1,949","2,090.00/-",Maize,2026-01-31,1867.38,,0.1949,2090.0
PR008575,20/07/2026,,Moga,Ganne,"₹3,509.61","Rs. 4,356",3932.8,,Sugarcane,2026-07-20,3509.61,0.4356,3932.8,
PR010458,2026/01/10,,Bathinda,Kapas,"Rs. 5,627","6,650.37/-",6138.929109845614,6620,Cotton,2026-10-01,0.5627,6650.37,6138.929109845614,6620.0
PR000951,25.06.2026,MANDI056,Hisar,Dhaan,2226.17,"Rs. 2,525","Rs. 2,376",2183,Rice,2026-06-25,2226.17,0.2525,0.2376,2183.0
PR002105,01-20-2026,MANDI039,Kurukshetra,Kapas,"₹6,155.47","INR 6,702",6428.56,"₹6,620.00",Cotton,2026-01-20,6155.47,6702.0,6428.56,6620.0
PR007951,02/01/2026,MANDI024,Kurukshetra,Maize,"2,174.42/-",2348.9471523051525,"INR 2,262",,Maize,2026-01-02,2174.42,2348.9471523051525,2262.0,
PR001266,2026/04/25,MANDI019,Fatehabad,Ganna,"Rs. 3,500","Rs. 4,245","INR 3,873",3500,Sugarcane,2026-04-25,0.35,0.4245,3873.0,3500.0
PR006089,02.03.2026,MANDI046,Ferozepur,Mustard,5142.95,"₹5,632.66","₹5,387.81",5650,Mustard,2026-03-02,5142.95,5632.66,5387.81,5650.0
PR010862,2026/02/11,MANDI042,Ambala,mustard,5493.827969524963,"6,761.44/-","₹6,127.63",5650,Mustard,2026-11-02,5493.827969524963,6761.44,6127.63,5650.0
PR011617,18.03.2026,MANDI053,Bathinda,Makka,"2,009.38/-","₹2,235.40",2122.39,,Maize,2026-03-18,2009.38,2235.4,2122.39,
PR001291,2026-08-03,MANDI046,Jalandhar,धान,"1,867.54/-",2189.09,"2,028.32/-","Rs. 2,183",Rice,2026-03-08,1867.54,2189.09,2028.32,0.2183
PR001377,2026-06-14,MANDI007,,Basmati,"₹1,970.80","INR 2,447","INR 2,209",,Rice,2026-06-14,1970.8,2447.0,2209.0,
PR003954,2026-03-31,MANDI017,Kurukshetra,Dhaan,1971.7,"Rs. 2,237","INR 2,104","Rs. 2,183",Rice,2026-03-31,1971.7,0.2237,2104.0,0.2183
PR003093,20-May-2026,MANDI008,Ludhiana,चावल,"INR 1,975",2358.74,"2,166.76/-",2183,Rice,2026-05-20,1975.0,2358.74,2166.76,2183.0
PR000689,02.04.2026,MANDI054,,GEHUN,2293.99,"INR 2,786","Rs. 2,540",,Wheat,2026-04-02,2293.99,2786.0,0.254,
PR002359,09-Apr-2026,MANDI026,Hisar,cotton,"INR 6,497","₹7,003.03",6749.79,"INR 6,620",Cotton,2026-04-09,6497.0,7003.03,6749.79,6620.0
PR004233,29-Jan-2026,MANDI049,,paddy,2082.58,,2270.31,2183,Rice,2026-01-29,2082.58,,2270.31,2183.0
PR009368,04-05-2026,MANDI014,Karnal,Narma,"₹6,403.67","₹6,871.07","₹6,637.37",6620,Cotton,2026-05-04,6403.67,6871.07,6637.37,6620.0
PR005203,29-Mar-2026,MANDI024,Ferozepur,गेहूं,2124.53,"₹2,316.88",2220.7,"INR 2,275",Wheat,2026-03-29,2124.53,2316.88,2220.7,2275.0
PR006235,20-May-2026,MANDI006,Hisar,Cotton,,"₹7,062.16","₹6,842.78",,Cotton,2026-05-20,,7062.16,6842.78,
PR011846,2026-09-05,MANDI031,Ambala,गेहूं,2076.39,2414.63,"2,245.51/-",,Wheat,2026-05-09,2076.39,2414.63,2245.51,
PR001340,2026-01-16,MANDI007,Jalandhar,Paddy,"Rs. 1,857","2,122.46/-",1989.82,"INR 2,183",Rice,2026-01-16,0.1857,2122.46,1989.82,2183.0
PR008186,01-25-2026,,Moga,Rice,2005.68,"₹2,112.51","₹2,059.10",,Rice,2026-01-25,2005.68,2112.51,2059.1,
PR007070,09.05.2026,MANDI022,,Rice,"2,038.27/-","2,509.70/-",2273.98,2183,Rice,2026-05-09,2038.27,2509.7,2273.98,2183.0
PR004775,02-23-2026,,Jalandhar,Gehun,"INR 2,097","Rs. 2,609","INR 2,353",2275,Wheat,2026-02-23,2097.0,0.2609,2353.0,2275.0
PR006448,20.02.2026,MANDI035,Ludhiana,corn,1881.78,2319.1,"₹2,100.44",,Maize,2026-02-20,1881.78,2319.1,2100.44,
PR003034,29/01/2026,MANDI055,Amritsar,Wheat,"2,375.39/-","Rs. 2,905","₹2,640.12","INR 2,275",Wheat,2026-01-29,2375.39,0.2905,2640.12,2275.0
PR002947,13/05/2026,,Patiala,Cotton,"INR 6,131",7320.96,"₹6,725.89","₹6,620.00",Cotton,2026-05-13,6131.0,7320.96,6725.89,6620.0
PR002729,02.03.2026,MANDI008,Karnal,Mustard,"₹5,787.16",6077.88,5932.52,"₹5,650.00",Mustard,2026-03-02,5787.16,6077.88,5932.52,5650.0
PR007737,20-Feb-2026,MANDI012,Amritsar,गेहूं,"Rs. 1,964",2203.07,2083.63,"2,275.00/-",Wheat,2026-02-20,0.1964,2203.07,2083.63,2275.0
PR005676,01-Jul-2026,MANDI007,Fatehabad,Corn,1976.82,"Rs. 2,419","₹2,197.94","2,090.00/-",Maize,2026-07-01,1976.82,0.2419,2197.94,2090.0
PR008805,2026-03-11,MANDI046,Ludhiana,सरसों,"INR 4,820","Rs. 5,699","5,259.53/-",5650,Mustard,2026-11-03,4820.0,0.5699,5259.53,5650.0
PR005981,2026-07-23,MANDI013,Kurukshetra,wheat,"₹2,341.23","Rs. 2,517","₹2,429.19","₹2,275.00",Wheat,2026-07-23,2341.23,0.2517,2429.19,2275.0
PR000060,14/05/2026,,Ferozepur,mustard,"5,811.32/-",6329.19,"₹6,070.26",5650,Mustard,2026-05-14,5811.32,6329.19,6070.26,5650.0
PR001371,04/06/2026,MANDI030,Ferozepur,cotton,"Rs. 5,660",6087.83,"Rs. 5,874","₹6,620.00",Cotton,2026-06-04,0.566,6087.83,0.5874,6620.0
PR003239,03.01.2026,,Karnal,चावल,"INR 1,872",2174.23,2023.3017368627486,"INR 2,183",Rice,2026-01-03,1872.0,2174.23,2023.3017368627486,2183.0
PR002056,22.08.2026,MANDI009,Ferozepur,Basmati,1908.1409099896425,"INR 2,009","Rs. 1,958",,Rice,2026-08-22,1908.1409099896425,2009.0,0.1958,
PR005252,05.01.2026,MANDI032,Jalandhar,Gehun,"₹2,151.86","₹2,675.13",2413.49,,Wheat,2026-01-05,2151.86,2675.13,2413.49,
PR009259,01-Jun-2026,MANDI055,,Ganne,"INR 3,152","Rs. 3,337",3244.6003698960367,"Rs. 3,500",Sugarcane,2026-06-01,3152.0,0.3337,3244.6003698960367,0.35
PR002760,02-15-2026,MANDI036,Karnal,Narma,6302.29,7206.81,"₹6,754.55","6,620.00/-",Cotton,2026-02-15,6302.29,7206.81,6754.55,6620.0
PR004003,25/08/2026,MANDI029,Kurukshetra,Ganna,"3,083.37/-","Rs. 3,315","Rs. 3,199","Rs. 3,500",Sugarcane,2026-08-25,3083.37,0.3315,0.3199,0.35
PR008764,2026-05-31,MANDI039,Fatehabad,Cotton,"6,311.65/-",6815.97,"6,563.81/-",,Cotton,2026-05-31,6311.65,6815.97,6563.81,
PR004575,28-Aug-2026,MANDI040,Ferozepur,चावल,"₹2,184.65","₹2,619.32",2401.982891153114,2183,Rice,2026-08-28,2184.65,2619.32,2401.982891153114,2183.0
PR001751,19.07.2026,MANDI047,Ludhiana,सरसों,"5,637.61/-",,6334.03,,Mustard,2026-07-19,5637.61,,6334.03,
PR001077,07-22-2026,,Kurukshetra,सरसों,5178.312104348875,,5757.03,5650,Mustard,2026-07-22,5178.312104348875,,5757.03,5650.0
PR005404,22/01/2026,MANDI034,Sirsa,मक्का,1786.3365949009074,"1,926.15/-",1856.24,"₹2,090.00",Maize,2026-01-22,1786.3365949009074,1926.15,1856.24,2090.0
PR006339,25.04.2026,MANDI051,Karnal,Narma,"₹6,696.62","INR 7,530","₹7,113.15",6620,Cotton,2026-04-25,6696.62,7530.0,7113.15,6620.0
PR009691,2026/05/11,MANDI010,Fatehabad,Ganna,"₹3,201.15",3361.389536195206,3281.27,3500,Sugarcane,2026-11-05,3201.15,3361.389536195206,3281.27,3500.0
PR010145,2026-02-02,MANDI013,Kurukshetra,GEHUN,2069.22,"INR 2,309",2188.9685772991033,"INR 2,275",Wheat,2026-02-02,2069.22,2309.0,2188.9685772991033,2275.0
PR001300,2026-08-02,MANDI046,Patiala,corn,"INR 1,918","₹2,158.02",2038.25,"INR 2,090",Maize,2026-02-08,1918.0,2158.02,2038.25,2090.0
PR007631,2026/03/02,MANDI055,Bathinda,Wheat,"₹2,386.55","2,953.19/-","2,669.87/-",2275,Wheat,2026-02-03,2386.55,2953.19,2669.87,2275.0
PR000891,17/07/2026,MANDI050,Amritsar,Ganna,3360.97,"₹3,721.24",3541.11,"Rs. 3,500",Sugarcane,2026-07-17,3360.97,3721.24,3541.11,0.35
PR000564,05.01.2026,MANDI039,Hisar,Sugarcane,3448.28,"INR 4,181","3,814.67/-",3500,Sugarcane,2026-01-05,3448.28,4181.0,3814.67,3500.0
PR000602,2026-05-29,MANDI009,Ambala,Dhaan,"INR 1,924","₹2,048.10","INR 1,986","Rs. 2,183",Rice,2026-05-29,1924.0,2048.1,1986.0,0.2183
PR010104,2026-06-29,MANDI040,Karnal,WHEAT,2287.5,2466.13,"2,376.82/-","INR 2,275",Wheat,2026-06-29,2287.5,2466.13,2376.82,2275.0
PR000234,03-06-2026,MANDI046,Sirsa,Ganne,"INR 3,421","Rs. 3,726",3573.51,3500,Sugarcane,2026-06-03,3421.0,0.3726,3573.51,3500.0
PR005480,20/07/2026,MANDI050,Moga,Mustard,"5,592.07/-",6362.979993983251,"₹5,977.53",5650,Mustard,2026-07-20,5592.07,6362.979993983251,5977.53,5650.0
PR010827,2026-06-25,MANDI005,Fatehabad,sugarcane,3119.64,3645.1,"₹3,382.37",3500,Sugarcane,2026-06-25,3119.64,3645.1,3382.37,3500.0
PR000661,26/07/2026,MANDI029,Fatehabad,Paddy,,2666.93,"INR 2,401","2,183.00/-",Rice,2026-07-26,,2666.93,2401.0,2183.0
PR002565,07-May-2026,MANDI043,Ludhiana,Makki,,"INR 2,198","INR 2,022","INR 2,090",Maize,2026-05-07,,2198.0,2022.0,2090.0
PR004659,01-23-2026,MANDI010,Sirsa,Makka,"₹1,944.04","INR 2,211","INR 2,077","INR 2,090",Maize,2026-01-23,1944.04,2211.0,2077.0,2090.0
PR008402,16/06/2026,MANDI027,Fatehabad,मक्का,"INR 1,845",2143.52,"₹1,994.33",,Maize,2026-06-16,1845.0,2143.52,1994.33,
PR007197,04-May-2026,MANDI033,Ambala,गन्ना,3653.020121077713,4059.89,"Rs. 3,856",3500,Sugarcane,2026-05-04,3653.020121077713,4059.89,0.3856,3500.0
PR000500,04-02-2026,MANDI035,Moga,चावल,2181.045527366979,2399.84,"INR 2,290","Rs. 2,183",Rice,2026-02-04,2181.045527366979,2399.84,2290.0,0.2183
PR002708,17.08.2026,MANDI053,Sirsa,कपास,6858.04,7844.4388757834595,"₹7,351.24","Rs. 6,620",Cotton,2026-08-17,6858.04,7844.4388757834595,7351.24,0.662
PR008975,05/04/2026,MANDI046,Karnal,Wheat,"INR 2,350","INR 2,685","INR 2,517",2275,Wheat,2026-04-05,2350.0,2685.0,2517.0,2275.0
PR007085,11/03/2026,MANDI039,Ambala,Sarso,"INR 5,727","Rs. 6,192","INR 5,959","₹5,650.00",Mustard,2026-03-11,5727.0,0.6192,5959.0,5650.0
PR003234,08-31-2026,MANDI010,Hisar,Sarson,"Rs. 5,344","INR 6,188","Rs. 5,766","INR 5,650",Mustard,2026-08-31,0.5344,6188.0,0.5766,5650.0
PR003552,18.05.2026,,Karnal,corn,"₹1,791.21","₹1,980.88",1886.04,,Maize,2026-05-18,1791.21,1980.88,1886.04,
PR003156,28/07/2026,MANDI052,Bathinda,Makki,2067.21,"Rs. 2,382","₹2,224.78","2,090.00/-",Maize,2026-07-28,2067.21,0.2382,2224.78,2090.0
PR001607,18.06.2026,,Patiala,mustard,"INR 5,565",6412.727054232409,"Rs. 5,989",,Mustard,2026-06-18,5565.0,6412.727054232409,0.5989,
PR002564,2026-04-06,MANDI010,Ambala,corn,2121.78,"Rs. 2,587","INR 2,354","INR 2,090",Maize,2026-06-04,2121.78,0.2587,2354.0,2090.0
PR001680,09/02/2026,MANDI038,Bathinda,paddy,"2,063.33/-","Rs. 2,387","₹2,225.08",2183,Rice,2026-02-09,2063.33,0.2387,2225.08,2183.0
PR004686,2026-04-30,MANDI051,,Sarson,5523.1,"6,271.94/-","Rs. 5,898",,Mustard,2026-04-30,5523.1,6271.94,0.5898,
PR010671,12/08/2026,MANDI036,Sirsa,sugarcane,"INR 3,521","3,829.90/-","INR 3,675","₹3,500.00",Sugarcane,2026-08-12,3521.0,3829.9,3675.0,3500.0
PR003180,03/02/2026,MANDI057,Patiala,Rice,"₹2,102.20","₹2,284.30","₹2,193.25","2,183.00/-",Rice,2026-02-03,2102.2,2284.3,2193.25,2183.0
PR007921,13.06.2026,MANDI057,Patiala,गेहूं,"INR 2,274","₹2,519.92",2397.03,"2,275.00/-",Wheat,2026-06-13,2274.0,2519.92,2397.03,2275.0
PR009782,30/03/2026,MANDI045,,Mustard,4983.72,"₹6,078.70","5,531.21/-","5,650.00/-",Mustard,2026-03-30,4983.72,6078.7,5531.21,5650.0
PR007375,26.05.2026,MANDI007,Sirsa,Kapas,6948.75,"Rs. 7,354","₹7,151.48",6620,Cotton,2026-05-26,6948.75,0.7354,7151.48,6620.0
PR003698,28-Feb-2026,MANDI003,Jalandhar,Corn,,"INR 2,455",2321.22,"₹2,090.00",Maize,2026-02-28,,2455.0,2321.22,2090.0
PR011382,20-May-2026,MANDI047,Karnal,Makki,"Rs. 1,923","₹2,057.96",1990.53,"₹2,090.00",Maize,2026-05-20,0.1923,2057.96,1990.53,2090.0
PR000927,08-16-2026,MANDI042,Bathinda,Wheat,1971.5,"₹2,367.71","Rs. 2,170","2,275.00/-",Wheat,2026-08-16,1971.5,2367.71,0.217,2275.0
PR011519,2026-03-27,MANDI030,Jalandhar,Sarso,5653.22,"₹6,810.92","INR 6,232","₹5,650.00",Mustard,2026-03-27,5653.22,6810.92,6232.0,5650.0
PR009637,10/03/2026,MANDI056,Hisar,सरसों,"5,115.50/-",,"Rs. 5,462",5650,Mustard,2026-03-10,5115.5,,0.5462,5650.0
PR001637,23/04/2026,MANDI048,Ludhiana,चावल,2010.1534847915866,"2,209.05/-","INR 2,110",,Rice,2026-04-23,2010.1534847915866,2209.05,2110.0,
PR004876,12-Aug-2026,,Fatehabad,Narma,6345.534975638505,"INR 7,199",6772.33,,Cotton,2026-08-12,6345.534975638505,7199.0,6772.33,
PR001068,2026/02/27,MANDI043,Moga,Chawal,"₹2,093.86","₹2,212.47","2,153.17/-","₹2,183.00",Rice,2026-02-27,2093.86,2212.47,2153.17,2183.0
PR006220,31/05/2026,MANDI021,Bathinda,Makka,"INR 1,888",2027.39,1957.5956597046059,"₹2,090.00",Maize,2026-05-31,1888.0,2027.39,1957.5956597046059,2090.0
PR008164,16.04.2026,,Hisar,Paddy,2145.539983472816,"2,347.05/-","₹2,246.30",2183,Rice,2026-04-16,2145.539983472816,2347.05,2246.3,2183.0
PR004486,06/05/2026,,Hisar,corn,1887.5,2254.54,"INR 2,071","₹2,090.00",Maize,2026-05-06,1887.5,2254.54,2071.0,2090.0
PR001657,2026-05-26,,Jalandhar,Sugarcane,"INR 3,058",3448.7883456534482,"INR 3,253","₹3,500.00",Sugarcane,2026-05-26,3058.0,3448.7883456534482,3253.0,3500.0
PR000636,30/07/2026,MANDI001,Jalandhar,Mustard,"Rs. 5,830",6522.04,"6,175.78/-","Rs. 5,650",Mustard,2026-07-30,0.583,6522.04,6175.78,0.565
PR008714,01-19-2026,MANDI044,Bathinda,Ganna,3275.4225337385774,3868.2,"INR 3,572","₹3,500.00",Sugarcane,2026-01-19,3275.4225337385774,3868.2,3572.0,3500.0
PR006554,12/05/2026,MANDI019,Ferozepur,Gehun,"INR 2,043","Rs. 2,169","₹2,106.18",,Wheat,2026-05-12,2043.0,0.2169,2106.18,
PR007451,05/06/2026,MANDI049,Hisar,paddy,2133.49,2430.74,2282.12,"Rs. 2,183",Rice,2026-06-05,2133.49,2430.74,2282.12,0.2183
PR004826,2026/02/27,MANDI008,Moga,Sarson,5305.6683659374585,5842.61,"₹5,574.14","Rs. 5,650",Mustard,2026-02-27,5305.6683659374585,5842.61,5574.14,0.565
PR003124,04.07.2026,MANDI002,Patiala,Cotton,"6,280.49/-",7576.15,"₹6,928.32","₹6,620.00",Cotton,2026-07-04,6280.49,7576.15,6928.32,6620.0
PR007308,15.06.2026,MANDI048,Jalandhar,Cotton,"6,414.53/-",7817.45,7115.99,,Cotton,2026-06-15,6414.53,7817.45,7115.99,
PR011358,03/03/2026,MANDI027,Hisar,wheat,"₹1,957.21",2120.7088850785995,"2,038.96/-","Rs. 2,275",Wheat,2026-03-03,1957.21,2120.7088850785995,2038.96,0.2275
PR002849,19/02/2026,MANDI043,Jalandhar,GEHUN,"₹2,108.38","INR 2,303","₹2,205.49",,Wheat,2026-02-19,2108.38,2303.0,2205.49,
PR000278,02/04/2026,MANDI002,,corn,"INR 2,028","Rs. 2,420","INR 2,224","₹2,090.00",Maize,2026-04-02,2028.0,0.242,2224.0,2090.0
PR010767,2026-01-26,MANDI049,Patiala,कपास,"6,176.37/-",7109.091862971616,6642.73,,Cotton,2026-01-26,6176.37,7109.091862971616,6642.73,
PR009416,05.06.2026,,,Paddy,"₹1,918.74","INR 2,304","Rs. 2,111",2183,Rice,2026-06-05,1918.74,2304.0,0.2111,2183.0
PR006769,2026-08-02,,,गेहूं,"2,047.45/-",2342.22,"INR 2,195",2275,Wheat,2026-02-08,2047.45,2342.22,2195.0,2275.0
PR005062,2026/08/29,MANDI057,Ferozepur,Ganne,3331.999425085686,3987.3206060919074,"3,659.66/-",,Sugarcane,2026-08-29,3331.999425085686,3987.3206060919074,3659.66,
PR003411,25-Jul-2026,MANDI050,Bathinda,Sarson,"5,673.40/-",,"INR 6,244",,Mustard,2026-07-25,5673.4,,6244.0,
PR001183,28-Jun-2026,MANDI051,,WHEAT,2311.342582562423,2580.92,"2,446.13/-","₹2,275.00",Wheat,2026-06-28,2311.342582562423,2580.92,2446.13,2275.0
PR003889,2026-05-29,,Sirsa,Kapas,"Rs. 6,089",6442.05,6265.64,,Cotton,2026-05-29,0.6089,6442.05,6265.64,
PR006057,28/03/2026,,Ludhiana,paddy,"1,970.36/-",2238.5,"Rs. 2,104","Rs. 2,183",Rice,2026-03-28,1970.36,2238.5,0.2104,0.2183
PR010183,2026/01/13,MANDI023,Kurukshetra,corn,"Rs. 1,863","2,087.97/-","1,975.71/-","Rs. 2,090",Maize,2026-01-13,0.1863,2087.97,1975.71,0.209
PR000371,07-Aug-2026,MANDI018,Fatehabad,Sarson,"INR 5,054","5,585.96/-",5320.06,"INR 5,650",Mustard,2026-08-07,5054.0,5585.96,5320.06,5650.0
PR006590,24-May-2026,MANDI035,Patiala,WHEAT,2350.41,"Rs. 2,731","₹2,540.73","₹2,275.00",Wheat,2026-05-24,2350.41,0.2731,2540.73,2275.0
PR010318,2026-02-15,MANDI014,Amritsar,Ganna,"Rs. 3,264",3445.4932241573993,"Rs. 3,355","Rs. 3,500",Sugarcane,2026-02-15,0.3264,3445.4932241573993,0.3355,0.35
PR000090,2026-06-26,MANDI040,Ambala,Maize,1881.8691227385789,,2003.89,"2,090.00/-",Maize,2026-06-26,1881.8691227385789,,2003.89,2090.0
PR004915,29.03.2026,,Moga,गेहूं,"Rs. 2,155",,2340.1,"Rs. 2,275",Wheat,2026-03-29,0.2155,,2340.1,0.2275
PR009953,22/04/2026,MANDI028,Ambala,Dhaan,"₹1,901.88","₹2,078.12",1990.0,"INR 2,183",Rice,2026-04-22,1901.88,2078.12,1990.0,2183.0
PR010106,02/01/2026,MANDI042,Bathinda,कपास,"INR 6,136",6538.69,6337.33,,Cotton,2026-01-02,6136.0,6538.69,6337.33,
PR000014,08-Feb-2026,MANDI028,Hisar,WHEAT,"₹2,100.07",2375.64,"INR 2,238","2,275.00/-",Wheat,2026-02-08,2100.07,2375.64,2238.0,2275.0
PR000287,2026/04/13,MANDI031,,Kanak,"₹2,103.01",2276.59,"2,189.80/-","₹2,275.00",Wheat,2026-04-13,2103.01,2276.59,2189.8,2275.0
PR004723,12/04/2026,MANDI020,Kurukshetra,Gehun,"Rs. 1,960","INR 2,441",2200.7,2275,Wheat,2026-04-12,0.196,2441.0,2200.7,2275.0
PR000290,2026/08/07,MANDI024,Bathinda,Ganna,3589.02,3950.83341499987,"₹3,769.93","INR 3,500",Sugarcane,2026-07-08,3589.02,3950.83341499987,3769.93,3500.0
PR000885,26-Apr-2026,MANDI016,Kurukshetra,सरसों,4928.43761867252,"₹5,446.76","Rs. 5,188","₹5,650.00",Mustard,2026-04-26,4928.43761867252,5446.76,0.5188,5650.0
PR006785,2026-07-31,MANDI025,Karnal,Rice,"Rs. 2,112","₹2,555.56","Rs. 2,334",2183,Rice,2026-07-31,0.2112,2555.56,0.2334,2183.0
PR011132,2026-03-30,MANDI020,Sirsa,Sugarcane,3250.83,"₹3,969.99","Rs. 3,610",3500,Sugarcane,2026-03-30,3250.83,3969.99,0.361,3500.0
PR000072,06/01/2026,MANDI047,Amritsar,WHEAT,2020.69,,2160.48,"₹2,275.00",Wheat,2026-01-06,2020.69,,2160.48,2275.0
PR008759,10/04/2026,MANDI042,Moga,Basmati,"1,916.22/-","INR 2,381","INR 2,148","₹2,183.00",Rice,2026-04-10,1916.22,2381.0,2148.0,2183.0
PR002705,2026-06-11,,,Mustard,"4,886.19/-",5692.39,"5,289.29/-",,Mustard,2026-11-06,4886.19,5692.39,5289.29,
PR011585,2026-01-28,MANDI016,Jalandhar,Ganne,"INR 3,395","₹3,710.84",3552.76,,Sugarcane,2026-01-28,3395.0,3710.84,3552.76,
PR001860,2026/04/18,,Sirsa,गन्ना,"₹3,233.75",3496.33,"Rs. 3,365",,Sugarcane,2026-04-18,3233.75,3496.33,0.3365,
PR001877,04-28-2026,MANDI038,Ludhiana,Cotton,"₹6,070.34","Rs. 6,646",6357.95,,Cotton,2026-04-28,6070.34,0.6646,6357.95,
PR004804,08-10-2026,MANDI015,Fatehabad,Sugarcane,"Rs. 3,036","₹3,480.16","3,257.90/-",3500,Sugarcane,2026-10-08,0.3036,3480.16,3257.9,3500.0
PR005224,2026-08-06,MANDI019,Ludhiana,Cotton,5856.97,6404.1,"₹6,130.53","Rs. 6,620",Cotton,2026-06-08,5856.97,6404.1,6130.53,0.662
PR011327,07-20-2026,MANDI020,Hisar,mustard,"Rs. 5,578","₹6,771.16","INR 6,175",5650,Mustard,2026-07-20,0.5578,6771.16,6175.0,5650.0
PR003657,07/06/2026,MANDI049,Moga,Sarson,5526.458101463893,6776.9,6151.677939662541,5650,Mustard,2026-06-07,5526.458101463893,6776.9,6151.677939662541,5650.0
